Customer ID,Customer Country
10001,Country B
10002,Country B
10003,Country B
10004,Country B
10005,Country B
10006,Country B
10007,Country B
10008,Country B
10009,Country B
10010,Country B
10011,Country B
10012,Country B
10013,Country B
10014,Country B
10015,Country B
10016,Country B
10017,Country B
10018,Country B
10019,Country B
10020,Country B
10021,Country B
10022,Country B
10023,Country B
10024,Country B
10025,Country B
10026,Country B
10027,Country B
10028,Country B
10029,Country B
10030,Country B
10031,Country B
10032,Country B
10033,Country B
10034,Country B
10035,Country B
10036,Country B
10037,Country B
10038,Country B
10039,Country B
10040,Country B
10041,Country B
10042,Country B
10043,Country B
10044,Country B
10045,Country B
10046,Country B
10047,Country B
10048,Country B
10049,Country B
10050,Country B
10051,Country B
10052,Country B
10053,Country B
10054,Country B
10055,Country B
10056,Country B
10057,Country B
10058,Country B
10059,Country B
10060,Country B
10061,Country B
10062,Country B
10063,Country B
10064,Country B
10065,Country B
10066,Country B
10067,Country B
10068,Country B
10069,Country B
10070,Country B
10071,Country B
10072,Country B
10073,Country B
10074,Country B
10075,Country B
10076,Country B
10077,Country B
10078,Country B
10079,Country B
10080,Country B
10081,Country B
10082,Country B
10083,Country B
10084,Country B
10085,Country B
10086,Country B
10087,Country B
10088,Country B
10089,Country B
10090,Country B
10091,Country B
10092,Country B
10093,Country B
10094,Country B
10095,Country B
10096,Country B
10097,Country B
10098,Country B
10099,Country B
10100,Country B
10101,Country B
10102,Country B
10103,Country B
10104,Country B
10105,Country B
10106,Country B
10107,Country B
10108,Country B
10109,Country B
10110,Country B
10111,Country B
10112,Country B
10113,Country B
10114,Country B
10115,Country B
10116,Country B
10117,Country B
10118,Country B
10119,Country B
10120,Country B
10121,Country B
10122,Country B
10123,Country B
10124,Country B
10125,Country B
10126,Country B
10127,Country B
10128,Country B
10129,Country B
10130,Country B
10131,Country B
10132,Country B
10133,Country B
10134,Country B
10135,Country B
10136,Country B
10137,Country B
10138,Country B
10139,Country B
10140,Country B
10141,Country B
10142,Country B
10143,Country B
10144,Country B
10145,Country B
10146,Country B
10147,Country B
10148,Country B
10149,Country B
10150,Country B
10151,Country B
10152,Country B
10153,Country B
10154,Country B
10155,Country B
10156,Country B
10157,Country B
10158,Country B
10159,Country B
10160,Country B
10161,Country B
10162,Country B
10163,Country B
10164,Country B
10165,Country B
10166,Country B
10167,Country B
10168,Country B
10169,Country B
10170,Country B
10171,Country B
10172,Country B
10173,Country B
10174,Country B
10175,Country B
10176,Country B
10177,Country B
10178,Country B
10179,Country B
10180,Country B
10181,Country B
10182,Country B
10183,Country B
10184,Country B
