iter	Logloss
0	0.6772246353
1	0.6611681139
2	0.6476509625
3	0.6340587903
4	0.6201864545
5	0.6068757043
6	0.5941386673
7	0.581817703
8	0.5696573319
9	0.5585514272
10	0.5487371968
11	0.5381724744
12	0.5288252374
13	0.5196557857
14	0.511120911
15	0.5032120522
16	0.4954972468
17	0.4879720715
18	0.4804565971
19	0.4743387088
20	0.4682575733
21	0.4620830232
22	0.4561547734
23	0.4506812204
24	0.4447112489
25	0.4394466003
26	0.4342985823
27	0.4289310969
28	0.4241712267
29	0.419924964
30	0.4158849248
31	0.4120702886
32	0.4083566762
33	0.4046095208
34	0.4008532328
35	0.3973667291
36	0.3941103648
37	0.3909874079
38	0.3875435843
39	0.3846719393
40	0.381668837
41	0.37909412
42	0.3766589459
43	0.3742770952
44	0.3718203773
45	0.3694880481
46	0.3673367725
47	0.3653946295
48	0.3632275015
49	0.3614946207
50	0.3597152332
51	0.3583670824
52	0.3566132154
53	0.354548216
54	0.3530143015
55	0.3511862607
56	0.3498916688
57	0.3483993556
58	0.3470801294
59	0.3456583884
60	0.3441995417
61	0.3426744164
62	0.3412991786
63	0.3401584134
64	0.3391524199
65	0.3379313492
66	0.3369137125
67	0.335934541
68	0.335337457
69	0.3345518288
70	0.3336632684
71	0.3327642464
72	0.3319591275
73	0.3309982108
74	0.3302180716
75	0.3291803886
76	0.328246281
77	0.327398353
78	0.3267023358
79	0.3259469354
80	0.3251559891
81	0.3247789114
82	0.3239405756
83	0.3232297663
84	0.322504835
85	0.3217478302
86	0.3210708536
87	0.3205777915
88	0.3200481854
89	0.3194613433
90	0.318811176
91	0.3182040269
92	0.3175775774
93	0.3172074643
94	0.3166373426
95	0.3161336586
96	0.315544964
97	0.3151496696
98	0.3146748091
99	0.3142209352
100	0.3137774766
101	0.3133443268
102	0.3128677004
103	0.3125109559
104	0.3119596947
105	0.3115469572
106	0.3111701728
107	0.3107070481
108	0.3103883688
109	0.3100841535
110	0.3096151939
111	0.3092166724
112	0.3088438282
113	0.3084586766
114	0.3081589929
115	0.3077105026
116	0.307353134
117	0.3070103337
118	0.3066586507
119	0.3063678919
120	0.3062835936
121	0.3058912159
122	0.3055170233
123	0.3052885915
124	0.3049485696
125	0.3046314717
126	0.3043606087
127	0.3041269522
128	0.3038522714
129	0.3035827295
130	0.3033607258
131	0.3030706615
132	0.302705903
133	0.3024956513
134	0.3023100723
135	0.3020404001
136	0.3017973367
137	0.3015449988
138	0.3012865062
139	0.3010618169
140	0.3008466702
141	0.3006381532
142	0.3004108805
143	0.3001979086
144	0.2999380447
145	0.2996811578
146	0.2994152776
147	0.299103249
148	0.2989215104
149	0.2987339479
150	0.2985170997
151	0.2982908219
152	0.2981192697
153	0.2980011452
154	0.2978030901
155	0.2975363906
156	0.2973674471
157	0.2972016775
158	0.2970520267
159	0.2968671694
160	0.2966509357
