iter	Passed	Remaining
0	7	11611
1	13	10160
2	20	10213
3	28	10796
4	35	10678
5	43	10770
6	50	10771
7	56	10593
8	63	10490
9	69	10398
10	75	10185
11	81	10119
12	88	10092
13	95	10088
14	101	10056
15	108	10020
16	112	9831
17	119	9866
18	127	9907
19	134	9925
20	140	9922
21	147	9889
22	153	9844
23	160	9894
24	167	9906
25	175	9969
26	191	10422
27	205	10821
28	217	11057
29	224	10997
30	232	11012
31	238	10960
32	243	10823
33	249	10776
34	256	10750
35	263	10714
36	269	10659
37	276	10641
38	284	10645
39	290	10603
40	298	10610
41	305	10595
42	312	10600
43	320	10602
44	327	10583
45	333	10554
46	341	10565
47	348	10545
48	356	10565
49	364	10577
50	380	10808
51	396	11032
52	407	11113
53	414	11103
54	422	11090
55	430	11095
56	437	11078
57	446	11089
58	453	11072
59	462	11104
60	470	11103
61	482	11182
62	494	11285
63	508	11417
64	523	11563
65	551	11981
66	565	12098
67	582	12271
68	596	12372
69	611	12497
70	619	12473
71	631	12524
72	641	12531
73	649	12508
74	659	12531
75	674	12642
76	693	12825
77	786	14334
78	797	14343
79	812	14419
80	821	14397
81	833	14411
82	846	14451
83	858	14473
84	872	14528
85	879	14466
86	889	14446
87	904	14509
88	952	15099
89	1029	16125
90	1049	16254
91	1065	16301
92	1077	16296
93	1091	16328
94	1106	16369
95	1121	16401
96	1130	16348
97	1137	16270
98	1144	16192
99	1151	16126
100	1158	16050
101	1165	15968
102	1172	15898
103	1179	15832
104	1187	15777
105	1194	15712
106	1204	15684
107	1214	15650
108	1222	15605
109	1230	15547
110	1240	15517
111	1247	15460
112	1257	15439
113	1270	15444
114	1277	15382
115	1286	15348
116	1293	15288
117	1303	15271
118	1312	15237
119	1320	15191
120	1324	15100
121	1333	15065
122	1341	15016
123	1349	14972
124	1357	14935
125	1365	14892
126	1373	14852
127	1380	14799
128	1389	14769
129	1397	14724
130	1404	14679
131	1413	14644
132	1422	14620
133	1430	14583
134	1438	14539
135	1444	14484
136	1451	14441
137	1458	14391
138	1467	14367
139	1485	14430
140	1493	14391
141	1500	14347
142	1507	14301
143	1513	14255
144	1520	14212
145	1539	14273
146	1551	14276
147	1566	14310
148	1579	14319
149	1588	14297
150	1595	14258
151	1602	14213
152	1609	14168
153	1614	14109
154	1620	14062
155	1627	14024
156	1635	13990
157	1644	13967
158	1653	13949
159	1660	13904
160	1668	13874
161	1674	13833
162	1681	13791
163	1689	13759
164	1696	13725
165	1703	13686
166	1710	13651
167	1717	13613
168	1724	13579
169	1731	13548
170	1738	13512
171	1746	13481
172	1753	13446
173	1789	13640
174	1811	13713
175	1823	13715
176	1838	13741
177	1854	13770
178	1866	13777
179	1878	13773
180	1886	13747
181	1898	13749
182	1908	13733
183	1918	13724
184	1932	13738
185	1945	13744
186	1956	13735
187	1968	13734
188	1981	13746
189	1994	13754
190	2007	13759
191	2082	14189
192	2123	14380
193	2140	14412
194	2157	14435
195	2168	14428
196	2181	14425
197	2192	14418
198	2208	14435
199	2219	14426
200	2226	14388
201	2233	14351
202	2239	14307
203	2249	14290
204	2257	14257
205	2266	14238
206	2275	14211
207	2288	14217
208	2306	14246
209	2316	14231
210	2324	14199
211	2331	14162
212	2338	14128
213	2345	14095
214	2352	14062
215	2360	14030
216	2368	14002
217	2376	13974
218	2383	13943
219	2391	13915
220	2399	13886
221	2407	13857
222	2413	13823
223	2421	13794
224	2429	13768
225	2435	13731
226	2443	13701
227	2460	13726
228	2480	13765
229	2493	13767
230	2501	13740
231	2508	13710
232	2517	13691
233	2526	13667
234	2544	13699
235	2559	13705
236	2575	13723
237	2593	13754
238	2602	13732
239	2611	13710
240	2620	13688
241	2635	13698
242	2647	13695
243	2655	13670
244	2666	13658
245	2674	13634
246	2683	13610
247	2693	13596
248	2704	13588
249	2716	13580
250	2723	13554
251	2733	13535
252	2742	13515
253	2749	13488
254	2755	13452
255	2762	13422
256	2769	13396
257	2779	13380
258	2790	13370
259	2797	13340
260	2814	13360
261	2827	13360
262	2834	13331
263	2841	13303
264	2848	13277
265	2855	13247
266	2862	13219
267	2869	13188
268	2876	13164
269	2882	13132
270	2890	13107
271	2896	13078
272	2903	13050
273	2911	13027
274	2918	12998
275	2925	12974
276	2932	12947
277	2939	12922
278	2946	12896
279	2959	12893
280	2972	12893
281	2984	12891
282	2999	12896
283	3007	12875
284	3014	12851
285	3021	12825
286	3028	12799
287	3049	12834
288	3071	12870
289	3089	12890
290	3103	12895
291	3204	13257
292	3276	13497
293	3289	13493
294	3306	13505
295	3321	13512
296	3329	13486
297	3337	13461
298	3345	13438
299	3371	13484
300	3383	13478
301	3400	13488
302	3412	13480
303	3426	13479
304	3433	13452
305	3444	13438
306	3453	13420
307	3461	13395
308	3473	13387
309	3481	13363
310	3499	13380
311	3517	13391
312	3535	13407
313	3548	13403
314	3563	13405
315	3579	13410
316	3596	13419
317	3606	13404
318	3613	13377
319	3625	13368
320	3633	13344
321	3641	13322
322	3649	13297
323	3657	13276
324	3663	13246
325	3673	13229
326	3681	13205
327	3690	13186
328	3697	13160
329	3708	13147
330	3715	13121
331	3739	13155
332	3752	13149
333	3761	13130
334	3768	13106
335	3777	13086
336	3785	13063
337	3794	13046
338	3802	13022
339	3813	13011
340	3820	12986
341	3834	12983
342	3843	12966
343	3851	12942
344	3859	12920
345	3866	12895
346	3873	12869
347	3880	12844
348	3887	12822
349	3895	12798
350	3901	12772
351	3910	12752
352	3916	12725
353	3923	12702
354	3931	12679
355	3938	12656
356	3944	12630
357	3952	12608
358	3959	12584
359	3968	12566
360	3975	12543
361	3982	12518
362	3989	12496
363	4001	12489
364	4019	12499
365	4029	12486
366	4046	12491
367	4061	12492
368	4076	12493
369	4090	12492
370	4098	12471
371	4105	12447
372	4111	12423
373	4119	12403
374	4127	12382
375	4133	12357
376	4140	12333
377	4147	12310
378	4154	12288
379	4160	12263
380	4168	12242
381	4175	12220
382	4182	12197
383	4188	12172
384	4194	12147
385	4201	12126
386	4210	12109
387	4218	12088
388	4226	12070
389	4233	12050
390	4241	12029
391	4248	12008
392	4255	11986
393	4281	12019
394	4373	12234
395	4387	12230
396	4400	12226
397	4412	12218
398	4428	12220
399	4437	12204
400	4444	12181
401	4453	12164
402	4461	12143
403	4471	12131
404	4494	12152
405	4509	12150
406	4520	12139
407	4537	12143
408	4555	12151
409	4575	12165
410	4592	12168
411	4603	12156
412	4611	12137
413	4619	12118
414	4627	12097
415	4634	12075
416	4641	12055
417	4649	12034
418	4656	12013
419	4662	11990
420	4669	11968
421	4676	11945
422	4682	11922
423	4688	11897
424	4695	11876
425	4701	11853
426	4708	11832
427	4713	11804
428	4720	11785
429	4727	11764
430	4734	11742
431	4741	11722
432	4748	11702
433	4755	11681
434	4762	11660
435	4770	11640
436	4777	11620
437	4783	11599
438	4790	11578
439	4797	11557
440	4807	11544
441	4815	11525
442	4830	11525
443	4843	11519
444	4854	11508
445	4861	11488
446	4870	11472
447	4876	11451
448	4884	11434
449	4892	11414
450	4900	11398
451	4909	11382
452	4920	11371
453	4929	11356
454	4938	11342
455	4946	11325
456	4955	11308
457	4964	11295
458	4972	11278
459	4981	11261
460	4985	11236
461	4992	11217
462	5003	11207
463	5016	11200
464	5033	11203
465	5048	11201
466	5060	11193
467	5072	11184
468	5081	11170
469	5089	11152
470	5097	11135
471	5104	11116
472	5111	11098
473	5118	11078
474	5124	11059
475	5131	11038
476	5138	11020
477	5145	11001
478	5152	10981
479	5159	10964
480	5168	10949
481	5174	10929
482	5181	10910
483	5188	10891
484	5195	10873
485	5202	10853
486	5209	10835
487	5217	10818
488	5223	10799
489	5230	10781
490	5237	10763
491	5245	10746
492	5252	10729
493	5259	10711
494	5266	10693
495	5273	10673
496	5280	10655
497	5286	10636
498	5293	10619
499	5301	10603
500	5308	10585
501	5316	10568
502	5322	10549
503	5327	10528
504	5334	10510
505	5341	10493
506	5348	10474
507	5355	10457
508	5363	10443
509	5469	10617
510	5484	10615
511	5496	10606
512	5508	10597
513	5521	10591
514	5537	10591
515	5544	10573
516	5551	10554
517	5558	10537
518	5571	10530
519	5584	10524
520	5594	10511
521	5602	10496
522	5610	10481
523	5620	10468
524	5629	10455
525	5637	10439
526	5646	10424
527	5654	10408
528	5663	10395
529	5671	10379
530	5684	10373
531	5694	10361
532	5703	10347
533	5713	10335
534	5720	10317
535	5728	10303
536	5737	10289
537	5745	10274
538	5753	10258
539	5764	10247
540	5771	10230
541	5778	10214
542	5786	10198
543	5796	10187
544	5803	10169
545	5813	10157
546	5821	10142
547	5829	10126
548	5838	10113
549	5847	10100
550	5863	10098
551	5873	10086
552	5888	10083
553	5901	10076
554	5915	10071
555	5929	10067
556	5943	10061
557	5953	10051
558	5966	10043
559	5974	10028
560	5982	10012
561	5988	9995
562	5996	9979
563	6003	9962
564	6010	9946
565	6017	9929
566	6023	9910
567	6030	9894
568	6037	9879
569	6043	9861
570	6049	9842
571	6056	9826
572	6063	9808
573	6070	9792
574	6077	9776
575	6085	9761
576	6091	9744
577	6097	9726
578	6103	9708
579	6110	9691
580	6116	9675
581	6124	9659
582	6131	9643
583	6138	9628
584	6145	9611
585	6153	9597
586	6160	9581
587	6166	9564
588	6173	9548
589	6179	9531
590	6187	9516
591	6194	9500
592	6201	9484
593	6208	9469
594	6214	9453
595	6221	9437
596	6228	9420
597	6235	9404
598	6242	9389
599	6249	9373
600	6255	9357
601	6262	9341
602	6266	9321
603	6273	9306
604	6279	9289
605	6287	9275
606	6313	9287
607	6325	9280
608	6337	9272
609	6353	9269
610	6363	9259
611	6382	9261
612	6389	9245
613	6395	9229
614	6403	9214
615	6409	9198
616	6416	9182
617	6423	9168
618	6430	9151
619	6436	9136
620	6443	9119
621	6450	9104
622	6457	9090
623	6464	9075
624	6475	9066
625	6648	9282
626	6662	9276
627	6672	9265
628	6688	9261
629	6700	9252
630	6712	9244
631	6724	9234
632	6730	9218
633	6736	9201
634	6745	9188
635	6763	9188
636	6774	9178
637	6787	9170
638	6801	9164
639	6815	9158
640	6827	9149
641	6834	9134
642	6841	9119
643	6848	9102
644	6855	9087
645	6861	9070
646	6875	9064
647	6881	9048
648	6887	9031
649	6895	9017
650	6902	9001
651	6911	8989
652	6918	8973
653	6925	8959
654	6932	8943
655	6940	8929
656	6947	8914
657	6953	8898
658	6961	8884
659	6968	8868
660	6975	8853
661	6981	8837
662	6989	8823
663	6995	8808
664	7003	8793
665	7009	8778
666	7017	8763
667	7024	8748
668	7031	8733
669	7042	8723
670	7049	8709
671	7057	8695
672	7063	8679
673	7070	8665
674	7077	8649
675	7084	8635
676	7090	8619
677	7096	8604
678	7104	8589
679	7110	8574
680	7116	8558
681	7126	8547
682	7139	8540
683	7177	8562
684	7198	8564
685	7211	8557
686	7223	8548
687	7231	8534
688	7237	8518
689	7243	8503
690	7251	8489
691	7257	8474
692	7264	8459
693	7271	8444
694	7277	8429
695	7285	8415
696	7291	8400
697	7299	8386
698	7306	8372
699	7313	8358
700	7319	8342
701	7325	8327
702	7333	8313
703	7340	8300
704	7347	8285
705	7353	8270
706	7357	8252
707	7364	8238
708	7370	8222
709	7377	8208
710	7383	8193
711	7390	8178
712	7397	8165
713	7404	8150
714	7411	8136
715	7417	8122
716	7424	8108
717	7430	8093
718	7437	8079
719	7443	8063
720	7450	8050
721	7458	8037
722	7465	8023
723	7472	8009
724	7479	7995
725	7486	7980
726	7491	7965
727	7498	7951
728	7504	7937
729	7511	7922
730	7519	7910
731	7526	7896
732	7532	7882
733	7539	7868
734	7545	7853
735	7552	7839
736	7559	7825
737	7565	7812
738	7576	7802
739	7587	7793
740	7595	7779
741	7601	7765
742	7618	7761
743	7630	7753
744	7666	7769
745	7761	7844
746	7773	7835
747	7785	7827
748	7804	7825
749	7818	7818
750	7826	7805
751	7832	7790
752	7838	7776
753	7845	7761
754	7852	7748
755	7859	7734
756	7866	7721
757	7873	7707
758	7879	7692
759	7886	7679
760	7893	7665
761	7899	7650
762	7906	7637
763	7913	7623
764	7921	7611
765	7928	7596
766	7935	7583
767	7941	7569
768	7947	7554
769	7954	7540
770	7960	7526
771	7966	7512
772	7973	7499
773	7980	7485
774	7987	7471
775	7993	7457
776	8000	7444
777	8007	7430
778	8013	7416
779	8019	7403
780	8026	7389
781	8033	7376
782	8040	7362
783	8046	7348
784	8053	7335
785	8070	7331
786	8083	7323
787	8094	7313
788	8101	7300
789	8107	7286
790	8115	7273
791	8121	7260
792	8128	7246
793	8135	7234
794	8142	7220
795	8148	7206
796	8155	7193
797	8161	7179
798	8167	7165
799	8173	7152
800	8179	7138
801	8185	7124
802	8192	7110
803	8198	7097
804	8209	7087
805	8219	7077
806	8230	7067
807	8241	7058
808	8252	7048
809	8259	7035
810	8263	7020
811	8270	7007
812	8277	6994
813	8284	6981
814	8290	6968
815	8299	6956
816	8306	6943
817	8313	6931
818	8319	6917
819	8327	6905
820	8334	6892
821	8341	6880
822	8347	6866
823	8355	6854
824	8361	6841
825	8367	6828
826	8373	6814
827	8379	6800
828	8387	6788
829	8396	6778
830	8408	6768
831	8419	6759
832	8432	6751
833	8440	6740
834	8447	6727
835	8453	6714
836	8460	6701
837	8467	6688
838	8473	6675
839	8479	6662
840	8486	6649
841	8492	6636
842	8499	6623
843	8505	6610
844	8512	6598
845	8519	6585
846	8525	6572
847	8532	6560
848	8538	6547
849	8546	6535
850	8552	6522
851	8559	6509
852	8565	6496
853	8571	6484
854	8578	6471
855	8585	6459
856	8591	6446
857	8598	6433
858	8605	6421
859	8612	6409
860	8619	6396
861	8626	6384
862	8633	6372
863	8640	6360
864	8646	6347
865	8653	6334
866	8660	6322
867	8666	6310
868	8672	6297
869	8678	6284
870	8684	6271
871	8691	6259
872	8699	6247
873	8705	6235
874	8712	6223
875	8718	6210
876	8726	6198
877	8733	6186
878	8739	6174
879	8746	6162
880	8756	6152
881	8874	6218
882	8886	6209
883	8898	6200
884	8910	6192
885	8920	6181
886	8932	6173
887	8939	6160
888	8951	6152
889	8963	6143
890	8973	6133
891	8985	6124
892	9000	6117
893	9008	6106
894	9015	6094
895	9022	6082
896	9028	6069
897	9035	6056
898	9041	6044
899	9048	6032
900	9055	6020
901	9061	6007
902	9067	5995
903	9075	5983
904	9082	5971
905	9089	5959
906	9095	5946
907	9102	5934
908	9107	5921
909	9117	5911
910	9127	5901
911	9137	5891
912	9148	5881
913	9158	5871
914	9171	5863
915	9178	5851
916	9185	5839
917	9192	5827
918	9199	5816
919	9205	5803
920	9212	5791
921	9220	5780
922	9226	5767
923	9233	5756
924	9240	5744
925	9246	5731
926	9252	5719
927	9259	5707
928	9266	5695
929	9272	5683
930	9279	5671
931	9285	5659
932	9293	5647
933	9301	5636
934	9308	5624
935	9315	5612
936	9322	5601
937	9329	5589
938	9342	5581
939	9353	5572
940	9365	5563
941	9375	5553
942	9393	5548
943	9404	5539
944	9411	5527
945	9417	5515
946	9424	5503
947	9430	5491
948	9437	5479
949	9446	5469
950	9453	5457
951	9459	5445
952	9466	5433
953	9472	5421
954	9478	5409
955	9485	5397
956	9492	5386
957	9501	5375
958	9507	5363
959	9513	5351
960	9519	5339
961	9525	5326
962	9532	5315
963	9538	5303
964	9545	5292
965	9553	5280
966	9558	5268
