iter	Passed	Remaining
0	4	7411
1	9	8530
2	16	9895
3	22	9908
4	30	11019
5	35	10634
6	43	11079
7	49	11083
8	63	12559
9	70	12549
10	79	12988
11	86	12861
12	93	12911
13	102	13095
14	111	13277
15	121	13534
16	144	15163
17	154	15342
18	167	15734
19	178	15904
20	187	15910
21	231	18736
22	342	26498
23	358	26525
24	368	26192
25	378	25856
26	387	25478
27	401	25392
28	412	25217
29	422	24939
30	431	24624
31	439	24277
32	449	24065
33	460	23901
34	467	23578
35	475	23281
36	482	22967
37	491	22770
38	498	22509
39	505	22236
40	511	21946
41	518	21699
42	525	21475
43	532	21256
44	552	21540
45	566	21595
46	581	21673
47	591	21599
48	600	21441
49	614	21515
50	643	22051
51	756	25445
52	812	26775
53	822	26578
54	832	26411
55	843	26283
56	853	26101
57	864	25975
58	881	26017
59	894	25934
60	941	26844
61	986	27643
62	1017	28060
63	1030	27946
64	1039	27756
65	1051	27620
66	1062	27481
67	1073	27348
68	1082	27163
69	1093	27014
70	1103	26874
71	1111	26680
72	1120	26514
73	1130	26362
74	1139	26211
75	1149	26070
76	1158	25934
77	1168	25806
78	1177	25653
79	1187	25533
80	1197	25423
81	1211	25384
82	1223	25302
83	1236	25258
84	1246	25153
85	1259	25097
86	1268	24969
87	1278	24871
88	1298	24961
89	1311	24917
90	1323	24860
91	1332	24738
92	1342	24639
93	1352	24546
94	1361	24439
95	1369	24315
96	1378	24193
97	1385	24070
98	1393	23948
99	1401	23818
100	1410	23719
101	1416	23577
102	1423	23455
103	1429	23316
104	1438	23220
105	1451	23203
106	1465	23180
107	1473	23078
108	1484	23022
109	1492	22924
110	1498	22805
111	1507	22719
112	1515	22631
113	1525	22559
114	1532	22453
115	1540	22363
116	1548	22278
117	1561	22252
118	1571	22202
119	1585	22196
120	1593	22113
121	1603	22060
122	1612	21979
123	1622	21929
124	1631	21863
125	1641	21808
126	1649	21722
127	1658	21664
128	1666	21589
129	1672	21487
130	1680	21412
131	1687	21321
132	1694	21236
133	1703	21174
134	1711	21112
135	1721	21066
136	1730	21011
137	1741	20977
138	1752	20937
139	1761	20883
140	1772	20849
141	1780	20793
142	1791	20753
143	1883	21662
144	2173	24813
145	2182	24720
146	2187	24602
147	2197	24525
148	2206	24445
149	2211	24328
150	2221	24262
151	2230	24188
152	2239	24103
153	2247	24022
154	2255	23940
155	2265	23877
156	2271	23768
157	2278	23676
158	2287	23608
159	2296	23540
160	2307	23486
161	2313	23391
162	2320	23306
163	2328	23224
164	2334	23137
165	2340	23037
166	2348	22962
167	2355	22879
168	2361	22789
169	2369	22716
170	2375	22628
171	2381	22537
172	2385	22439
173	2390	22341
174	2396	22252
175	2400	22153
176	2405	22058
177	2410	21962
178	2415	21876
179	2424	21823
180	2442	21846
181	2449	21780
182	2455	21698
183	2461	21619
184	2468	21548
185	2475	21477
186	2478	21375
187	2484	21307
188	2492	21242
189	2499	21183
190	2505	21104
191	2513	21048
192	2519	20975
193	2526	20917
194	2534	20856
195	2539	20781
196	2545	20712
197	2551	20641
198	2557	20575
199	2564	20512
200	2571	20459
201	2579	20408
202	2582	20316
203	2589	20256
204	2595	20192
205	2601	20132
206	2605	20054
207	2610	19981
208	2616	19919
209	2621	19851
210	2627	19790
211	2634	19731
212	2646	19715
213	2653	19662
214	2660	19610
215	2670	19583
216	2679	19546
217	2688	19507
218	2709	19559
219	2729	19601
220	2736	19550
221	2743	19500
222	2748	19434
223	2754	19379
224	2757	19299
225	2762	19237
226	2772	19209
227	2781	19180
228	2790	19143
229	2795	19084
230	2802	19035
231	2809	18986
232	2814	18927
233	2819	18867
234	2825	18819
235	2828	18746
236	2838	18719
237	2845	18675
238	2851	18622
239	2857	18571
240	2864	18528
241	2870	18482
242	2885	18485
243	2897	18477
244	2911	18478
245	2930	18514
246	2942	18500
247	2957	18506
248	2967	18486
249	2979	18470
250	2989	18450
251	2998	18420
252	3002	18359
253	3011	18331
254	3018	18289
255	3024	18241
256	3030	18197
257	3038	18157
258	3044	18113
259	3050	18066
260	3058	18033
261	3068	18010
262	3072	17955
263	3078	17913
264	3087	17881
265	3098	17866
266	3108	17848
267	3116	17815
268	3122	17770
269	3129	17731
270	3131	17668
271	3136	17622
272	3143	17582
273	3146	17526
274	3153	17485
275	3159	17448
276	3208	17641
277	3337	18270
278	3349	18259
279	3358	18230
280	3368	18207
281	3377	18180
282	3390	18173
283	3400	18150
284	3412	18139
285	3423	18122
286	3431	18091
287	3442	18070
288	3447	18022
289	3454	17986
290	3462	17955
291	3469	17917
292	3473	17863
