iter	RMSE
0	612584.5466
1	599286.5172
2	587082.855
3	575357.5178
4	563329.2072
5	551522.3386
6	540051.6913
7	528787.6573
8	518376.422
9	507419.491
10	497614.8268
11	488517.1995
12	479129.5198
13	470281.3195
14	461179.7285
15	453269.3799
16	445135.5083
17	437089.7553
18	429494.9151
19	422123.5498
20	414560.0681
21	407411.2145
22	400509.7397
23	393965.3262
24	387703.0598
25	381876.2873
26	376433.077
27	370514.2381
28	364972.8657
29	359518.9166
30	354334.4033
31	349055.3428
32	344033.1781
33	339362.5664
34	334866.1232
35	330603.719
36	326242.0779
37	322100.6688
38	318051.7783
39	314367.7358
40	310367.1022
41	306626.5275
42	303014.2019
43	299486.5474
44	296373.4017
45	293131.3328
46	289941.0944
47	286930.0564
48	283742.0018
49	280825.6584
50	277989.5274
51	275205.4645
52	272687.6142
53	269975.2692
54	267582.2354
55	265322.0981
56	262855.817
57	260507.855
58	258301.5794
59	256403.4964
60	254498.3947
61	252538.8807
62	250661.147
63	248750.4592
64	246841.2396
65	245184.9939
66	243516.3942
67	241767.1573
68	240115.6405
69	238439.1063
70	237020.943
71	235513.5912
72	234148.6411
73	232810.8109
74	231344.7596
75	229956.7471
76	228405.5208
77	227184.9813
78	225818.2
79	224522.0627
80	223416.9083
81	222413.2229
82	221318.5983
83	220331.6647
84	219459.2469
85	218264.27
86	217548.5556
87	216760.0204
88	215851.7275
89	214815.446
90	214305.1567
91	213422.3695
92	212543.6927
93	211803.625
94	211280.9814
95	210493.7828
96	209908.1776
97	209318.6378
98	208509.8959
99	207700.7838
100	206865.1179
101	206501.8494
102	205998.966
103	205501.2779
104	204280.4867
105	203868.3812
106	203287.3021
107	202838.774
108	202313.6454
109	201653.5108
110	201287.4219
111	200871.191
112	200522.781
113	200173.6036
114	199511.0056
115	199197.4014
116	198858.9296
117	198334.5176
118	197719.9718
119	197318.5448
120	197020.6947
121	196722.2978
122	196446.9721
123	196124.9865
124	195547.4945
125	195296.7527
126	194878.0905
127	194574.1399
128	194348.7182
129	193748.7607
130	193030.97
131	192782.4417
132	192374.9217
133	192082.4192
134	191662.1161
135	191368.2538
136	191111.486
137	190779.9654
138	190530.0631
139	190080.1157
140	189651.1078
141	189385.6357
142	189033.9496
143	188825.5286
144	188487.241
145	187977.4382
146	187580.167
147	187380.5122
148	187045.178
149	186603.4182
150	186227.7618
151	185644.721
152	185413.5422
153	185211.7211
154	184740.248
155	184540.3104
156	184337.6695
157	184276.5055
158	184167.1324
159	183957.3816
160	183729.5928
161	183595.9232
162	183526.1308
163	183344.2895
164	183165.3151
165	182521.1582
166	182182.6747
167	181932.2076
168	181754.9985
169	181373.6944
170	181111.6731
171	180766.4057
172	180551.2307
173	180502.8312
174	180342.3915
175	180177.6012
176	179741.3643
177	179561.9615
178	179251.4817
179	178846.4891
180	178616.6397
181	178074.8154
182	177915.3321
183	177867.1639
184	177709.3478
185	177581.8441
186	177443.0837
187	177299.8562
188	176944.0567
189	176473.86
190	176353.3558
191	175926.1381
192	175802.6066
193	175506.9088
194	175270.4311
195	174992.1531
196	174686.8857
197	174636.5227
198	174513.8881
199	174388.8101
200	174249.2613
201	174008.3643
202	173835.0416
203	173355.1229
204	172682.0933
205	172207.4947
206	172052.0177
207	171934.1102
208	171739.3733
209	171710.0284
210	171572.8678
211	171466.805
212	171057.9292
213	170850.9139
214	170377.0638
215	170222.1822
216	170104.2697
217	170022.6601
218	169695.9664
219	169169.8134
220	168829.5827
221	168379.2204
222	168263.4478
223	167853.1289
224	167619.4868
225	167374.8405
226	167274.5055
227	167251.5879
228	167158.0496
229	167135.8141
230	166702.8282
231	166611.0627
232	166491.8082
233	166402.9695
234	165983.0011
235	165556.2939
236	165511.6853
237	165243.9521
238	165136.6681
239	164869.994
240	164437.8707
241	164418.6141
242	164242.145
243	164158.9479
244	164037.1366
245	163753.7006
246	163137.4307
247	162987.6014
248	162672.5454
249	162635.4777
250	162555.6856
251	162211.5757
252	162162.0377
253	162137.2438
254	162058.7398
255	161980.9162
256	161809.1759
257	161441.0272
258	161216.2629
259	161138.4792
260	160911.7178
261	160751.4475
262	160318.2103
263	160240.2944
264	160143.908
265	160072.5719
266	160009.6792
267	159933.4339
268	159861.2875
269	159330.91
270	158904.6704
271	158625.354
272	158604.9937
273	158191.3615
274	157907.5073
275	157400.6622
276	157337.3258
277	156965.2168
278	156692.3792
279	156645.1347
280	156389.5213
281	156195.3805
282	155857.7566
283	155645.9728
284	155347.4981
285	154994.8618
286	154835.3152
287	154775.8052
288	154409.6093
289	154208.8953
290	154020.042
291	153855.9085
292	153655.8563
293	153421.1921
294	153086.9663
295	152989.0184
296	152922.6794
297	152865.861
298	152800.8808
299	152495.8274
300	152440.4484
301	152000.5086
302	151943.0533
303	151889.2408
304	151512.9555
305	151102.1504
306	151028.4518
307	150651.3909
308	150600.911
309	150537.1606
310	150475.0882
311	150102.9977
312	149962.9859
313	149736.5298
314	149446.2476
315	149139.4166
316	148924.4281
317	148564.9026
318	148394.474
319	148339.3424
320	148087.7589
321	148030.9432
322	147705.8344
323	147494.0685
324	147435.8496
325	147090.9235
326	146798.8391
327	146400.4963
328	146252.3228
329	146110.2026
330	145819.7603
331	145558.4409
332	145406.721
333	145254.6644
334	145128.8109
335	145079.668
336	145035.6721
337	144933.714
338	144776.2851
339	144469.0132
340	144171.7188
341	144127.7918
342	143912.4485
343	143861.9449
344	143820.1242
345	143524.8695
346	143404.4304
347	143143.9422
348	142868.3614
349	142411.4615
350	142087.6266
351	142021.7889
352	141877.2951
353	141829.0239
354	141715.4295
355	141470.0057
356	141359.6876
357	141308.9853
358	141137.2378
359	140972.9949
360	140824.0816
361	140789.1854
362	140598.8179
363	140239.7638
364	140118.4656
365	139832.5905
366	139780.2651
367	139743.4303
368	139710.7124
369	139416.6481
370	139372.3905
371	139159.5571
372	138877.402
373	138672.9651
374	138573.4271
375	138402.209
376	138133.707
377	138078.6511
378	138040.9814
379	137867.3065
380	137715.9505
381	137502.3063
382	137293.6457
383	137184.5075
384	136914.5711
385	136690.8717
386	136501.9725
387	136336.3126
388	136208.4136
389	136109.1363
390	136081.1076
391	135915.9695
392	135630.5937
393	135371.0212
394	135131.146
395	135032.5993
396	134995.0317
397	134729.2471
398	134700.3528
399	134519.3434
400	134406.5124
401	134285.8335
402	134261.1471
403	134020.9717
404	133765.3548
405	133492.599
406	133326.7981
407	133287.2371
408	133030.3919
409	132765.6362
410	132681.2015
411	132616.2952
412	132400.0383
413	132247.3124
414	132143.2832
415	131981.9354
416	131959.6915
417	131785.094
418	131635.9152
419	131614.332
420	131524.7843
421	131438.4103
422	131410.9971
423	131314.8892
424	131162.0648
425	131052.8555
426	130976.4171
427	130743.0248
428	130656.3468
429	130488.2749
430	130384.9189
431	130176.1171
432	130076.2447
433	129837.7403
434	129654.8107
435	129563.3484
436	129378.6912
437	129347.4696
438	129190.3159
439	129038.5205
440	129017.2876
441	128908.1929
442	128771.3846
443	128681.0343
444	128548.9169
445	128504.6338
446	128314.2543
447	128243.2863
448	128161.9196
449	128132.2636
450	127943.3514
451	127920.2121
452	127743.0529
453	127673.4301
454	127492.364
455	127331.8534
456	127271.5029
457	127219.5481
458	127109.9694
459	127091.3995
460	126878.8062
461	126756.0684
462	126696.9004
463	126566.0557
464	126394.8115
465	126376.7736
466	126358.9904
467	126341.6138
468	126296.7947
469	126278.6387
470	126143.051
471	126089.0503
472	126031.2619
473	125771.8203
474	125741.2066
475	125692.7528
476	125581.6093
477	125542.1986
478	125524.9566
479	125472.5359
480	125252.0666
481	125233.3832
482	125204.4153
483	125023.5236
484	124971.2343
485	124818.136
486	124649.8312
487	124505.4224
488	124487.0226
489	124454.7387
490	124290.9833
491	124129.7846
492	124079.6631
493	124023.4385
494	123926.4596
495	123804.2005
496	123756.3673
497	123560.2445
498	123515.6913
499	123374.1738
500	123192.8815
501	123158.0919
502	123135.7073
503	123105.6222
504	122982.3106
505	122912.904
506	122759.2823
507	122726.298
508	122616.4425
509	122462.97
510	122405.9146
511	122340.4679
512	122245.1876
513	122159.1076
514	121972.0893
515	121861.4334
516	121722.3327
517	121673.6337
518	121614.7076
519	121546.5797
520	121500.6341
521	121371.6959
522	121323.3879
523	121285.984
524	121221.1734
525	121160.098
526	121083.0745
527	121001.2262
528	120987.7598
529	120886.5791
530	120865.342
531	120737.0988
532	120673.3824
533	120486.8005
534	120456.344
535	120274.1723
536	120106.069
537	120085.8365
538	119931.6277
539	119760.6757
540	119748.0246
541	119635.4297
542	119534.9213
543	119516.4984
544	119341.462
545	119248.04
546	119054.683
547	118937.7552
548	118889.066
549	118870.6251
550	118820.1653
551	118701.5437
552	118650.7941
553	118602.1743
554	118543.8854
555	118457.0594
556	118347.3574
557	118240.4716
558	118186.8872
559	118127.1973
560	118022.9875
561	117901.3848
562	117813.3858
563	117706.3604
564	117556.647
565	117501.7435
566	117456.7223
567	117404.8165
568	117277.0124
569	117122.0691
570	117076.6764
571	116947.1177
572	116895.7002
573	116784.1061
574	116697.8175
575	116681.4831
576	116624.9206
577	116607.7218
578	116484.6019
579	116457.555
580	116359.8576
581	116299.0465
582	116282.4982
583	116210.0806
584	116109.0235
585	116093.6773
586	116049.8143
587	116009.0203
588	115970.4459
589	115865.1593
590	115789.8429
591	115768.2399
592	115680.3354
593	115654.0932
594	115534.2583
