iter	MAE
0	227312.584
1	224015.9503
2	220816.6706
3	216936.355
4	213268.0314
5	210221.484
6	206831.7142
7	203558.103
8	200969.2434
9	198053.8624
10	195519.5246
11	192568.8633
12	189744.9681
13	186465.3287
14	183134.3684
15	180696.9711
16	178401.6676
17	176214.1619
18	173343.0241
19	171510.692
20	170062.2852
21	167899.9016
22	165534.8066
23	163980.9763
24	161223.6413
25	159490.9133
26	158436.8096
27	156946.752
28	155228.6245
29	154352.9804
30	153342.473
31	152555.2701
32	151455.4652
33	150231.4569
34	148805.0839
35	146963.9158
36	145050.0951
37	144034.7297
38	143313.2594
39	141586.2093
40	140418.4423
41	139428.5648
42	137905.6248
43	136183.5552
44	134851.3076
45	133188.8055
46	132303.9662
47	131030.9937
48	129790.4066
49	128537.7908
50	127157.2297
51	126477.541
52	125235.4925
53	124043.7329
54	123037.0124
55	122346.7803
56	121320.6308
57	120322.1991
58	119363.1027
59	118376.9154
60	117353.5359
61	116694.6995
62	115972.7958
63	115176.9769
64	114381.1456
65	113832.6107
66	113187.9048
67	112474.0739
68	111774.1233
69	110839.7614
70	110145.6029
71	109756.9389
72	109504.1502
73	108814.8439
74	108187.0538
75	107508.1446
76	106954.4154
77	106538.4898
78	106105.6997
79	105534.4514
80	105039.1112
81	104406.4252
82	103868.7331
83	103361.8304
84	102890.8765
85	102353.4402
86	101838.3622
87	101512.7711
88	101311.6819
89	101068.5488
90	100911.645
91	100450.5106
92	99960.65159
93	99622.6449
94	99224.61892
95	98930.73018
96	98580.66778
97	98440.4225
98	98132.23436
99	97844.16491
100	97626.5734
101	97530.78267
102	97265.12836
103	96854.10213
104	96638.32492
105	96416.06194
106	96335.31432
107	96240.85143
108	96162.47046
109	95808.82262
110	95475.10152
111	95352.00482
112	95060.51438
113	94856.26994
114	94644.88291
115	94520.61777
116	94342.91514
117	94299.87464
118	94175.07823
119	94142.9951
120	94085.2537
121	93946.98356
122	93756.92183
123	93579.34871
124	93468.11158
125	93198.88784
126	93119.05021
127	93062.73111
128	92929.8179
129	92895.69913
130	92818.93752
131	92545.79278
132	92398.66145
133	92153.27453
134	91981.25629
135	91764.03994
136	91684.27318
137	91583.20773
138	91534.4275
139	91505.59101
140	91255.55032
141	91064.95781
142	90936.75403
143	90797.5358
144	90695.36436
145	90590.5661
146	90463.00136
147	90235.45998
148	90226.25698
149	90176.45677
150	90015.18576
151	89746.43877
152	89712.15005
153	89528.34151
154	89515.15965
155	89405.68242
156	89332.12774
157	89313.66242
158	89235.74262
159	89116.76841
160	88987.3116
161	88970.66346
162	88826.8189
163	88764.1365
164	88645.80022
165	88609.86453
166	88410.5366
167	88380.34853
168	88218.26891
169	87990.15068
170	87777.57006
171	87591.81223
172	87544.61282
173	87518.21848
174	87384.11799
175	87317.28369
176	87080.3828
177	86875.83866
178	86771.65889
179	86653.22266
180	86606.00567
181	86576.59738
182	86415.44861
183	86342.35035
184	86176.6753
185	86036.32651
186	85969.50708
187	85896.55007
188	85840.59409
189	85705.98594
190	85667.68541
191	85577.74275
192	85506.35789
193	85463.2801
194	85451.12253
195	85364.37831
196	85351.33782
197	85314.49786
198	85261.27521
199	85084.57207
200	85054.33525
201	84979.90769
202	84944.60958
203	84924.82574
204	84908.78203
205	84873.79212
206	84846.49286
207	84774.31579
208	84633.56459
209	84603.43263
210	84412.81395
211	84395.30898
212	84190.92654
213	84025.92447
214	84017.64846
215	83966.93924
216	83869.53138
217	83840.95918
218	83808.93385
219	83719.82102
220	83495.4309
221	83485.22039
222	83457.62182
223	83407.20261
224	83328.58091
225	83197.79592
226	83151.84794
227	83114.61517
228	83111.97902
229	83091.77136
230	83056.52709
231	82967.78993
232	82871.25335
233	82754.12054
234	82733.5673
235	82628.40853
236	82605.1983
237	82505.00709
238	82397.25375
239	82302.68971
240	82269.89522
241	82197.80955
242	82134.69916
243	82077.01723
244	82037.95468
245	81954.59677
246	81928.98808
247	81903.7068
248	81872.30564
249	81858.36276
250	81793.14655
251	81655.82302
252	81534.5751
253	81404.69399
254	81377.52035
255	81343.41232
256	81294.66959
257	81219.23776
258	81181.23664
259	81175.2116
260	81149.6937
261	81063.06914
262	81045.37967
263	81033.07644
264	81018.6542
265	80987.52088
266	80946.69514
267	80927.84997
268	80836.7027
269	80804.29318
270	80759.22239
271	80744.38305
272	80712.40046
273	80642.73829
274	80633.50609
275	80610.22772
276	80574.78335
277	80479.74933
278	80414.76782
279	80327.95002
280	80279.68479
281	80255.79095
282	80121.90502
283	80076.64573
284	79995.46747
285	79976.40647
286	79938.99666
287	79858.82046
288	79812.14864
289	79799.15293
290	79754.54655
291	79736.87179
292	79612.4565
293	79575.6513
294	79516.10319
295	79460.24703
296	79433.32337
297	79416.74794
298	79383.27576
299	79362.93607
300	79335.12275
301	79259.77491
302	79214.26892
303	79205.00944
304	79169.85295
305	79052.15597
306	79033.35628
307	78998.7363
308	78957.43658
309	78894.80038
310	78868.23435
311	78796.97479
312	78774.81997
313	78742.30448
314	78711.81711
315	78656.25971
316	78614.34314
317	78578.70118
318	78482.47304
319	78478.02904
320	78375.73388
321	78354.75697
322	78270.7127
323	78238.31555
324	78157.68359
325	78122.56039
326	78102.98367
327	78062.08721
328	77983.76074
329	77871.31636
330	77846.69005
331	77778.08124
332	77748.16714
333	77739.89652
334	77702.77536
335	77684.07784
336	77554.61377
337	77510.14209
338	77409.0392
339	77319.47432
340	77283.78352
341	77250.77555
342	77167.02201
343	77032.26951
344	76955.27585
345	76929.66572
346	76920.47581
347	76879.3476
348	76831.82638
349	76813.99657
350	76787.99156
351	76784.21864
352	76674.81418
353	76626.13
354	76565.84852
355	76526.75541
356	76499.98786
357	76440.90115
358	76414.53128
359	76362.54817
360	76325.8798
361	76315.19579
362	76277.42217
363	76220.70505
364	76193.79961
365	76169.06535
366	76138.62055
367	76099.9362
368	76077.00731
369	76044.74217
370	76022.92278
371	75973.86105
372	75902.61726
373	75834.4273
374	75826.60853
375	75801.95945
376	75696.72063
377	75591.07359
378	75574.78762
379	75539.78588
380	75480.88063
381	75404.67753
382	75394.17366
383	75323.38433
384	75230.66497
385	75210.12035
386	75203.57368
387	75179.54312
388	75166.57031
389	75162.07455
390	75148.02518
391	75133.59114
392	75121.22972
393	75030.39318
394	74988.35966
395	74976.69167
396	74961.56028
397	74942.46029
398	74924.11294
399	74915.25436
400	74886.55183
401	74877.30211
402	74868.18803
403	74860.33739
404	74853.50069
405	74846.84009
406	74837.47697
407	74769.96761
408	74749.04919
409	74701.00121
410	74677.21471
411	74657.89818
412	74603.49017
413	74595.11389
414	74558.28041
415	74539.79243
416	74533.29212
417	74511.53387
418	74413.08936
419	74407.52741
420	74370.98236
421	74366.17591
422	74360.49161
423	74313.02046
424	74270.46125
425	74228.18363
426	74214.47709
427	74209.56449
428	74144.56256
429	74137.21586
430	74130.7862
431	74054.37083
432	74033.64383
433	74023.36649
434	73990.12565
435	73972.09883
436	73958.11069
437	73947.98398
438	73936.40753
439	73877.87192
440	73808.38633
441	73772.44109
442	73739.24052
443	73689.32763
444	73643.90912
445	73627.64404
446	73610.97957
447	73583.45054
448	73536.68944
449	73534.70932
450	73514.75411
451	73428.3257
452	73409.40426
453	73379.93823
454	73372.43685
455	73290.92827
456	73282.80906
457	73262.69876
458	73235.03175
459	73208.64577
460	73156.22363
461	73115.74107
462	73097.07798
463	73090.31715
464	73064.284
465	73051.99972
466	73003.88773
467	72942.78872
468	72858.25413
469	72854.14491
470	72852.29535
471	72847.18325
472	72832.68129
473	72782.6108
474	72754.2201
475	72691.01579
476	72682.42218
477	72676.01556
478	72651.53179
479	72645.03035
480	72588.43195
481	72536.04977
482	72471.97545
483	72463.12308
484	72398.0543
485	72343.90685
486	72333.57326
487	72320.82523
488	72285.90603
489	72281.56472
490	72275.19012
491	72258.18275
492	72234.54761
493	72188.31433
494	72178.71342
495	72174.91469
496	72111.52283
497	72074.10883
498	72057.26609
499	71991.92423
500	71987.7619
501	71884.0498
502	71838.84954
503	71826.85404
504	71816.86625
505	71814.2838
506	71799.26245
507	71781.92144
508	71774.0266
509	71762.00991
510	71758.17894
511	71753.67204
512	71748.15956
513	71739.57577
514	71736.18985
515	71709.43975
516	71704.28115
517	71683.55394
518	71665.12161
519	71653.46819
520	71642.41561
521	71634.11687
522	71623.51095
523	71608.56687
524	71559.90815
525	71542.79523
526	71500.12097
527	71447.95306
528	71420.87845
529	71353.29228
530	71330.95274
531	71323.38144
532	71315.80402
533	71307.74025
534	71292.50231
535	71247.63397
536	71244.57601
537	71232.10085
538	71201.88982
539	71198.08697
540	71137.04242
541	71111.04434
542	71101.28094
543	71073.10935
544	71044.15585
545	71037.39181
546	71020.23078
547	71007.60785
548	70967.09732
549	70925.99664
550	70916.95779
551	70912.66381
552	70881.58499
553	70878.85357
554	70871.35199
555	70866.71512
556	70863.25039
557	70855.59106
558	70831.73139
559	70824.97666
560	70817.05521
561	70798.68792
562	70794.23754
563	70785.31994
564	70779.14482
565	70763.84962
566	70740.8206
567	70733.52057
568	70690.58397
569	70672.76338
570	70647.78872
571	70639.16656
572	70629.98469
573	70627.70736
574	70615.50204
575	70583.54323
576	70556.70201
577	70534.40613
578	70512.28705
579	70508.96052
580	70420.0437
581	70410.15798
582	70407.2807
583	70402.33405
584	70400.11056
585	70392.49408
