iter	Passed	Remaining
0	7	14081
1	12	11591
2	17	10218
3	20	9393
4	25	9106
5	28	8429
6	31	8058
7	34	7774
8	38	7601
9	42	7543
10	45	7357
11	51	7726
12	55	7688
13	59	7572
14	63	7593
15	67	7569
16	72	7554
17	75	7501
18	78	7387
19	82	7330
20	86	7301
21	89	7221
22	92	7152
23	95	7068
24	98	7020
25	102	6989
26	105	6927
27	108	6892
28	112	6874
29	117	6911
30	125	7133
31	129	7178
32	134	7190
33	137	7163
34	143	7253
35	152	7494
36	156	7444
37	159	7403
38	163	7372
39	167	7365
40	171	7372
41	175	7341
42	179	7319
43	183	7327
44	187	7303
45	191	7316
46	196	7312
47	201	7358
48	208	7441
49	212	7449
50	217	7460
51	222	7490
52	227	7494
53	231	7486
54	236	7490
55	241	7516
56	247	7575
57	251	7565
58	255	7549
59	259	7532
60	264	7549
61	268	7540
62	273	7546
63	278	7542
64	282	7540
65	287	7554
66	302	7820
67	306	7802
68	311	7820
69	318	7872
70	324	7893
71	328	7883
72	331	7853
73	335	7836
74	341	7848
75	346	7851
76	350	7846
77	354	7835
78	359	7834
79	364	7827
80	368	7813
81	372	7809
82	377	7799
83	381	7785
84	386	7793
85	390	7792
86	395	7784
87	399	7770
88	403	7761
89	408	7757
90	412	7751
91	417	7743
92	421	7735
93	425	7728
94	429	7708
95	432	7684
96	437	7673
97	440	7653
98	444	7630
99	447	7606
100	451	7591
101	455	7578
102	458	7560
103	462	7535
104	465	7508
105	468	7487
106	471	7464
107	474	7441
108	478	7415
109	480	7389
110	484	7378
111	487	7352
112	490	7324
113	493	7303
114	496	7279
115	499	7258
116	503	7248
117	506	7222
118	509	7193
119	513	7185
120	516	7162
121	519	7146
122	522	7123
123	525	7101
124	528	7079
125	530	7053
126	533	7031
127	536	7005
128	538	6975
129	540	6947
130	543	6923
131	546	6910
132	550	6900
133	553	6883
134	556	6863
135	559	6841
136	561	6815
137	563	6787
138	566	6767
139	568	6743
140	571	6718
141	573	6693
142	576	6675
143	578	6648
144	580	6627
145	583	6608
146	585	6587
147	588	6570
148	600	6656
149	602	6632
150	607	6637
151	622	6748
152	625	6732
153	628	6716
154	634	6735
155	638	6728
156	642	6726
157	646	6718
158	648	6697
159	651	6677
160	654	6663
161	657	6644
162	660	6628
163	666	6645
164	668	6626
165	671	6607
166	673	6588
167	676	6572
168	687	6636
169	690	6618
170	694	6613
171	697	6598
172	699	6578
173	702	6561
174	704	6544
175	707	6526
176	710	6513
177	712	6495
178	715	6478
179	718	6467
180	722	6463
181	726	6455
182	728	6438
183	731	6421
184	733	6402
185	735	6383
186	737	6364
187	740	6347
188	744	6349
189	747	6330
190	749	6310
191	751	6290
192	753	6271
193	755	6254
194	758	6240
195	761	6228
196	763	6209
197	765	6191
198	767	6175
199	770	6163
200	774	6160
201	777	6153
202	780	6138
203	782	6120
204	784	6101
205	786	6087
206	789	6075
207	798	6114
208	801	6102
209	804	6088
210	806	6074
211	808	6057
212	811	6044
213	813	6030
214	816	6015
215	818	6003
216	821	5993
217	823	5977
218	826	5966
219	829	5954
220	831	5941
221	833	5927
222	836	5914
223	839	5905
224	841	5889
225	843	5874
226	845	5858
227	847	5845
228	849	5830
229	852	5817
230	854	5803
231	856	5789
232	859	5778
233	861	5764
234	863	5750
235	865	5738
236	868	5725
237	870	5712
238	872	5697
239	874	5684
240	877	5674
241	879	5660
242	881	5649
243	884	5638
244	886	5627
245	888	5615
246	891	5606
247	893	5594
248	896	5582
249	898	5572
250	901	5560
251	903	5551
252	905	5538
253	907	5526
254	909	5512
255	911	5498
256	913	5486
257	916	5475
258	918	5467
259	921	5455
260	923	5444
261	925	5433
262	927	5420
263	930	5411
264	933	5405
265	936	5399
266	938	5387
267	940	5376
268	943	5371
269	946	5363
270	950	5360
271	953	5355
272	987	5522
273	990	5517
274	994	5514
275	997	5506
276	999	5496
277	1002	5490
278	1006	5484
279	1008	5474
280	1010	5462
281	1013	5453
282	1016	5446
283	1018	5437
284	1020	5427
285	1023	5417
286	1025	5407
287	1028	5398
288	1032	5396
289	1034	5388
290	1038	5384
291	1044	5395
292	1048	5392
293	1051	5384
294	1053	5376
295	1056	5366
296	1058	5355
297	1060	5346
298	1063	5339
299	1066	5331
300	1068	5323
301	1071	5314
302	1074	5306
303	1076	5298
304	1079	5292
305	1082	5284
306	1084	5275
307	1087	5267
308	1089	5258
309	1092	5250
310	1094	5242
311	1097	5234
312	1100	5227
313	1102	5219
314	1105	5211
315	1108	5204
316	1111	5201
317	1114	5193
318	1117	5186
319	1119	5178
320	1122	5170
321	1124	5162
322	1127	5156
323	1130	5149
324	1133	5143
325	1135	5134
326	1138	5127
327	1140	5119
328	1143	5111
329	1146	5105
330	1149	5099
331	1152	5095
332	1155	5090
333	1158	5084
334	1161	5079
335	1163	5070
336	1165	5061
337	1168	5053
338	1170	5045
339	1172	5036
340	1175	5028
341	1177	5020
342	1180	5013
343	1182	5005
344	1185	4997
345	1187	4990
346	1190	4983
347	1192	4976
348	1195	4969
349	1198	4965
350	1201	4960
351	1204	4954
352	1207	4947
353	1211	4949
354	1214	4944
355	1218	4940
356	1221	4936
357	1224	4932
358	1227	4928
359	1230	4923
360	1234	4919
361	1237	4914
362	1240	4911
363	1243	4906
364	1247	4904
365	1251	4904
366	1257	4908
367	1261	4907
368	1265	4907
369	1269	4906
370	1274	4909
371	1277	4905
372	1281	4902
373	1284	4899
374	1288	4895
375	1291	4891
376	1294	4886
377	1297	4881
378	1301	4878
379	1305	4877
380	1309	4875
381	1313	4875
382	1317	4873
383	1321	4872
384	1324	4868
385	1328	4865
386	1331	4860
387	1335	4859
388	1338	4855
389	1342	4851
390	1345	4849
391	1349	4846
392	1353	4844
393	1356	4840
394	1359	4835
395	1363	4833
396	1366	4830
397	1370	4828
398	1374	4824
399	1377	4821
400	1380	4817
401	1384	4813
402	1388	4811
403	1391	4807
404	1395	4805
405	1399	4806
406	1403	4804
407	1407	4800
408	1410	4797
409	1415	4797
410	1419	4795
411	1423	4793
412	1426	4790
413	1431	4790
414	1434	4788
415	1438	4784
416	1441	4781
417	1446	4781
418	1449	4779
419	1453	4776
420	1457	4775
421	1461	4772
422	1465	4770
423	1469	4767
424	1472	4763
425	1475	4758
426	1478	4755
427	1482	4750
428	1485	4747
429	1488	4742
430	1491	4736
431	1494	4732
432	1497	4727
433	1500	4722
434	1503	4716
435	1505	4711
436	1508	4705
437	1511	4701
438	1514	4695
439	1517	4691
440	1520	4684
441	1522	4679
442	1525	4673
443	1528	4668
444	1531	4663
445	1533	4656
446	1536	4650
447	1539	4644
448	1541	4639
449	1544	4632
450	1547	4627
451	1549	4622
452	1552	4615
453	1554	4609
454	1557	4604
455	1560	4598
456	1562	4592
457	1565	4587
458	1567	4580
459	1570	4574
460	1572	4568
461	1575	4564
462	1578	4557
463	1580	4550
464	1582	4543
465	1585	4537
466	1588	4535
467	1591	4529
468	1593	4523
469	1596	4516
470	1598	4511
471	1601	4506
472	1604	4501
473	1607	4496
474	1609	4490
