id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
536625,850, €/mes,41.401708,2.1540767,52,55,2,1,,,1, norte,2,,0,,,1,NULL,,2,Barcelona,Gràcia,2.026455178,3,,piso,,Fontana,0.094110936,9/1/2021 15:58,10/4/2021 6:01
545910,725, €/mes,41.4072214,2.135569,32,37,2,1,1,,1, sur,3,,1,,,1,NULL,1962,2,Barcelona,Sant Gervasi - La Bonanova,3.582408795,,,piso,,Vallcarca,0.902560762,9/2/2021 15:24,9/8/2021 12:29
570697,950, €/mes,41.4115078,2.1646085,,72,3,1,,,1,,4,,1,,,1,,,2,Barcelona,El Baix Guinardó,2.663025107,3,,piso,,Alfons X,0.188176602,8/28/2021 23:52,8/28/2021 23:52
591588,750, €/mes,41.402256,2.1407637,,45,1,1,1,,1, norte,4,,1,,,,NULL,1936,2,Barcelona,Sant Gervasi - La Bonanova,2.910067381,3,,piso,,Lesseps,0.892917045,8/29/2021 11:25,9/8/2021 12:29
610243,990, €/mes,41.4053265,2.1469287,,45,1,1,,,1, sur,3,,1,,,,gas,,2,Barcelona,Sarrià-Sant Gervasi,2.727149091,3,,piso,,Lesseps,0.293784378,8/30/2021 13:48,8/30/2021 14:04
610551,610, €/mes,41.3694991,2.1423122,46,51,0,1,,,1,NULL,,,1,,,,na,,2,Barcelona,Hostafrancs,3.081956551,3,,estudio,,Hostafrancs,0.645271183,9/3/2021 14:25,9/6/2021 15:15
621508,950, €/mes,41.4047154,2.1516545,60,65,2,1,,,1,NULL,2,,1,,,,NULL,,2,Barcelona,Vila de Gràcia,2.412689223,3,,piso,,Lesseps,0.154168887,8/28/2021 23:52,9/1/2021 9:41
622433,775, €/mes,41.4038298,2.1819804,39,52,1,1,,,1,NULL,2,,1,,,,na,1992,2,Barcelona,La Sagrada Família,2.037694807,,,piso,,Encants,0.383600462,10/22/2021 22:52,11/11/2021 17:50
691355,895, €/mes,41.4000377,2.1577259,,44,1,1,,1,1, norte,1,,1,,,1,,1980,2,Barcelona,Vila de Gràcia,1.690567617,3,,piso,,Fontana,0.449522198,8/29/2021 11:25,8/29/2021 11:25
693336,695, €/mes,41.4055955,2.2036608,,51,3,1,,,1,NULL,5,,0,,,,NULL,,2,Barcelona,El Poblenou,3.435107683,3,,piso,,Poblenou,0.210434682,9/2/2021 14:43,9/6/2021 16:53
693486,867, €/mes,41.4000394,2.1524908,29,30,1,1,,1,1, sur,5,1,1,,,1,,,2,Barcelona,Vila de Gràcia,1.984515832,3,,atico,,Fontana,0.22351041,11/12/2021 12:47,11/12/2021 12:47
737645,750, €/mes,41.4051415,2.1367376,,35,0,1,,1,1,NULL,7,1,1,,,,na,,2,Barcelona,Sarrià-Sant Gervasi,3.36802742,3,,atico,,Vallcarca,0.989787003,10/4/2021 0:26,10/22/2021 22:23
760937,850, €/mes,41.3763215,2.1499915,45,50,1,1,1,,1, este,5,,1,,,,gas,,2,Barcelona,Eixample,2.103523402,3,,piso,,Espanya,0.108383475,10/22/2021 11:07,10/23/2021 22:01
769218,825, €/mes,41.3739939,2.1292912,72,80,3,1,1,,1,NULL,1,,1,,,,NULL,1973,2,Barcelona,Sants - Badal,3.726975609,3,,piso,,Badal,0.236667049,9/3/2021 12:37,9/8/2021 22:36
775985,825, €/mes,41.4048913,2.1806122,,70,2,1,,,1, oeste,5,,1,,,,na,1965,2,Barcelona,La Sagrada Família,2.089929017,3,,piso,,Encants,0.313631477,10/19/2021 15:05,10/19/2021 15:05
823015,1550, €/mes,41.3821099,2.140569,130,140,4,3,1,1,1,,1,,1,,,,gas,,2,Barcelona,Sants,2.532709996,3,,piso,,Sants Estació,0.16889118,8/29/2021 22:19,8/29/2021 22:19
837607,835, €/mes,41.3895875,2.1455927,45,50,1,1,1,,0,NULL,2,,0,,,,na,,2,Barcelona,La Nova Esquerra de l'Eixample,2.038752021,3,,piso,,Hospital Clínic,0.470783913,11/11/2021 21:12,11/12/2021 11:37
859104,850, €/mes,41.4076077,2.136135,50,62,2,1,,,1,NULL,3,,1,,,,bomba,1969,2,Barcelona,Sant Gervasi - La Bonanova,3.570945814,3,,piso,,Vallcarca,0.839151454,8/29/2021 21:22,9/6/2021 14:54
884002,1200, €/mes,41.4013319,2.1380557,95,100,4,2,,1,1, este,1,,1,,,1,gas,1969,2,Barcelona,Sant Gervasi - Galvany,3.049817588,3,,piso,,Lesseps,1.141088467,8/29/2021 10:18,8/29/2021 10:18
947250,900, €/mes,41.3973601,2.1789746,,45,0,1,,,1,,3,,1,,1,1,electric,,2,Barcelona,El Fort Pienc,1.295407949,3,,estudio,,Monumental,0.354230253,10/22/2021 12:42,10/22/2021 12:42
975588,800, €/mes,41.4240438,2.1413953,,90,3,1,,,1,,4,,1,,,,gas,,2,Barcelona,La Teixonera,4.671796752,3,,piso,,Vall d'Hebron,0.152084573,10/4/2021 2:44,10/4/2021 2:44
1011271,860, €/mes,41.3899935,2.1505969,,63,2,1,,,1,,2,,1,,,,individual,,2,Barcelona,L'Antiga Esquerra de l'Eixample,1.629218639,3,,piso,,Hospital Clínic,0.159342611,10/4/2021 6:01,10/4/2021 6:01
1027273,800, €/mes,41.3735641,2.1660056,60,64,1,1,,,1,,3,,0,,,1,electric,,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.627701881,3,,piso,,Paral·lel,0.276586201,10/22/2021 23:54,10/22/2021 23:54
1038350,3000, €/mes,41.3969933,2.1394,177,214,4,3,,,1, sur,2,,1,,,,individual,,2,Barcelona,Sant Gervasi - Galvany,2.740223688,3,,piso,,Fontana,1.266126689,8/29/2021 22:19,8/29/2021 22:19
1040314,850, €/mes,41.3880545,2.1494997,43,60,2,1,1,,1, sur,3,1,1,,,,gas,,2,Barcelona,L'Antiga Esquerra de l'Eixample,1.704163998,3,,piso,,Hospital Clínic,0.145608583,8/30/2021 11:30,8/30/2021 11:30
1045294,875, €/mes,41.4171284,2.1750713,43,50,1,1,,1,1,,5,1,1,,,1,na,,2,Barcelona,El Guinardó,3.279354807,3,,atico,,Guinardó | Hospital de Sant Pau ,0.1580377,11/12/2021 12:47,11/12/2021 12:47
1100505,800, €/mes,41.3805028,2.1346857,60,65,3,1,1,,1, sur,4,,1,,,,individual,1969,2,Barcelona,Sants,3.053423937,3,,piso,,Plaça del Centre,0.18683045,9/8/2021 14:22,9/8/2021 14:22
1120022,4400, €/mes,41.3898447,2.1319183,200,240,5,4,,1,1, norte,2,,1,,,1,gas,2002,2,Barcelona,Les Tres Torres,3.178573025,3,,piso,,Maria Cristina,0.558891704,8/29/2021 12:06,8/29/2021 12:06
1128405,1300, €/mes,41.390226,2.1518309,83,86,3,2,,,1, norte,6,,1,,,1,gas,2004,2,Barcelona,L'Antiga Esquerra de l'Eixample,1.531524145,3,1,piso,,Hospital Clínic,0.190561894,8/29/2021 11:25,8/29/2021 11:25
1211739,640, €/mes,41.3815965,2.1885532,25,33,1,1,1,,1, norte,4,,0,,,,na,1936,2,Barcelona,La Barceloneta,1.705779319,3,,piso,,Barceloneta,0.31524235,9/1/2021 15:58,9/6/2021 15:15
1212717,800, €/mes,41.3955542,2.1425365,30,35,1,1,,1,1, norte,5,1,1,,,1,,1945,2,Barcelona,Sant Gervasi - Galvany,2.438479553,3,,atico,,Hospital Clínic,1.051360804,10/22/2021 23:54,10/22/2021 23:54
1232515,850, €/mes,41.4042323,2.1670216,54,63,2,1,,,1,,3,,0,,,1,,,2,Barcelona,El Camp d'En Grassot i Gràcia Nova,1.832666025,3,,piso,,Joanic,0.399889202,10/4/2021 6:01,10/4/2021 6:01
1371185,680, €/mes,41.3828098,2.1895752,32,35,2,1,1,,1, sur,2,,0,,,1,NULL,,2,Barcelona,La Barceloneta,1.735261484,3,,piso,,Barceloneta,0.414784601,9/2/2021 12:02,9/6/2021 16:28
1377651,818, €/mes,41.4096581,2.1376457,,45,1,1,1,,0, este,4,,1,,,1,bomba,1975,2,Barcelona,El Putxet i el Farró,3.620573928,3,,piso,,Vallcarca,0.614833334,10/4/2021 4:20,10/4/2021 4:20
1396891,625, €/mes,41.4394243,2.1573745,36,40,1,1,,,1,,2,,0,,,,,,2,Barcelona,Horta,5.825804238,3,,piso,,Valldaura,0.164170653,10/22/2021 17:05,10/22/2021 17:05
1432177,700, €/mes,41.4021625,2.1384287,,25,1,1,,1,1,NULL,7,,1,,,,NULL,,2,Barcelona,Sarrià-Sant Gervasi,3.069423088,3,,piso,,Lesseps,1.075584063,10/3/2021 22:11,10/4/2021 9:01
1434942,850, €/mes,41.4148287,2.1808882,,55,2,1,,,1,NULL,2,,1,,,,NULL,,2,Barcelona,El Camp de l'Arpa del Clot,3.131947747,3,,piso,,Camp de l'Arpa,0.056924516,8/28/2021 23:02,9/1/2021 21:02
1444719,1095, €/mes,41.4072641,2.1563948,,136,0,2,,,1, sur,,,1,,,1,individual,,2,Barcelona,Vila de Gràcia,2.431600192,3,,estudio,,Lesseps,0.527583067,8/29/2021 18:35,8/30/2021 14:04
1446630,800, €/mes,41.4182491,2.1808303,,70,3,1,,,1,NULL,,,1,,,,NULL,,2,Barcelona,Navas,3.496295948,3,,piso,,Camp de l'Arpa,0.359101851,9/3/2021 12:37,9/8/2021 17:09
1447322,890, €/mes,41.4085351,2.2026371,,50,1,1,,1,1,,3,,1,,,1,,,2,Barcelona,Provençals del Poblenou,3.566514078,3,1,piso,,Poblenou,0.539502362,9/2/2021 12:02,9/2/2021 12:02
1471273,1075, €/mes,41.4013336,2.182705,78,80,3,1,1,,1,,5,,1,,,,electric,,2,Barcelona,El Fort Pienc,1.835960196,3,,piso,,Monumental,0.285201901,8/29/2021 11:25,8/29/2021 11:25
1513441,750, €/mes,41.4175569,2.1478387,40,52,1,1,,,1, sur,2,,1,,,1,individual,1994,2,Barcelona,El Coll,3.778305351,3,,piso,,El Coll | La Teixonera,0.490982958,10/4/2021 0:26,10/4/2021 0:26
