id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
320294,150000, €,41.4596492,2.1747929,63.0,67,3,1,,1.0,1.0, este,5.0,,0.0,,,1.0,,,2,Barcelona,Ciutat Meridiana - Torre Baró - Vallbona,7.990993466,,,piso,,Ciutat Meridiana,0.121437592,9/3/2021 10:16,11/12/2021 13:50
1786997,150000, €,41.4220808,2.1553703,48.0,52,2,1,,,1.0,,3.0,,0.0,,,1.0,individual,,2,Barcelona,El Carmel,3.990999888,,,piso,,El Carmel,0.277336224,9/3/2021 10:16,11/12/2021 13:50
1787143,395000, €,41.4029279,2.2078508,84.0,91,2,2,,,1.0,,,,0.0,,,1.0,electric,,2,Barcelona,El Poblenou,3.579261472,,,duplex,,Poblenou,0.383878121,8/30/2021 12:17,8/30/2021 12:17
1976767,540000, €,41.394692,2.1444219,,100,3,1,,,1.0, sur,1.0,,1.0,,,1.0,,,2,Barcelona,Sant Gervasi - Galvany,2.257852446,,1.0,piso,,Hospital Clínic,0.875651775,9/1/2021 14:04,9/2/2021 13:50
27972575,650000, €,41.3989712,2.1207544,,141,3,2,,,1.0, este,1.0,,1.0,,,1.0,,,2,Barcelona,Sarrià,4.283367667,,1.0,piso,,Maria Cristina,1.310072747,8/29/2021 11:47,9/2/2021 11:01
29448623,128500, €,41.442969,2.1733718,,48,2,1,,,1.0,,4.0,,0.0,,,,,,2,Barcelona,Verdun,6.132079324,,,piso,,Via Júlia,0.439974465,9/2/2021 17:45,11/11/2021 21:48
29714252,2500000, €,41.3883547,2.175292,,318,3,2,,,1.0,,4.0,,1.0,,,1.0,,,2,Barcelona,Eixample,0.451137207,,,piso,,Urquinaona,0.146180097,8/28/2021 19:44,8/29/2021 12:56
31182060,128000, €,41.4220211,2.152251,70.0,74,3,1,,,,,,,,,,,,,2,Barcelona,Horta Guinardó,4.071503475,,,piso,,El Coll | La Teixonera,0.313418589,8/30/2021 12:17,9/6/2021 16:07
32039686,117000, €,41.423208,2.1517867,48.0,62,3,1,,,,,,,,,,,,,2,Barcelona,Horta Guinardó,4.208601374,,,piso,,El Coll | La Teixonera,0.308497976,10/4/2021 2:00,10/4/2021 13:29
33932885,1850000, €,41.4152481,2.108565,,380,6,6,,1.0,, sur,2.0,,,,1.0,,individual,1958.0,2,Barcelona,Sarrià-Sant Gervasi,5.954628874,,,chalet_independiente,1.0,Penitents,2.724096878,8/29/2021 11:04,8/29/2021 11:04
34591620,3000000, €,41.4007566,2.1081092,,672,5,8,1.0,1.0,, sur,,,,,,1.0,,2016.0,2,Barcelona,Sarrià-Sant Gervasi,5.352197958,,1.0,chalet,1.0,Palau Reial,1.859756144,8/28/2021 20:59,8/29/2021 13:26
35699120,95000, €,41.4486362,2.1773773,60.0,65,3,1,,,0.0, sur,2.0,,0.0,,,,na,1975.0,2,Barcelona,Nou Barris,6.784253049,,,piso,,Roquetes,0.151456919,8/30/2021 12:17,11/11/2021 15:49
35788141,120500, €,41.4216136,2.1489611,55.0,60,1,1,,,1.0,,1.0,,0.0,,,,,2001.0,2,Barcelona,El Coll,4.137594716,,,piso,,El Coll | La Teixonera,0.053479507,10/4/2021 3:16,11/11/2021 20:54
36356515,139000, €,41.4226103,2.1544792,,140,0,1,,1.0,, norte,,,,,,,na,1999.0,2,Barcelona,Horta Guinardó,4.070059398,,,estudio,,El Carmel,0.223371812,9/2/2021 18:12,10/23/2021 21:41
36369350,2750000, €,41.4160601,2.1084237,435.0,483,8,6,,1.0,, sur,4.0,,,,1.0,,gas,1980.0,2,Barcelona,Sarrià-Sant Gervasi,6.011302175,,1.0,chalet_independiente,1.0,Penitents,2.726119651,8/29/2021 11:04,8/29/2021 11:04
36370971,1550000, €,41.4005577,2.1385241,,295,5,4,1.0,1.0,1.0,,,,1.0,,,1.0,,1978.0,2,Barcelona,Sarrià-Sant Gervasi,2.9740989,,,piso,,Lesseps,1.146693261,8/28/2021 20:59,8/29/2021 14:06
36470629,279000, €,41.378485,2.1646963,45.0,47,1,1,,,0.0,,2.0,,1.0,,,1.0,electric,,2,Barcelona,El Raval,1.134346213,,,piso,,Sant Antoni,0.192940613,8/31/2021 23:35,9/1/2021 13:13
36573941,280000, €,41.3946525,2.1255765,,60,2,1,,,1.0,,,,1.0,,,1.0,gas,,2,Barcelona,Sarrià-Sant Gervasi,3.775741704,,,piso,,Maria Cristina,0.760668061,8/28/2021 21:29,8/29/2021 15:19
36830103,750000, €,41.404729,2.1663088,,215,4,3,1.0,1.0,1.0,,1.0,,1.0,,,1.0,individual,1989.0,2,Barcelona,Gràcia,1.895983151,,,piso,,Joanic,0.319148289,8/28/2021 19:44,8/29/2021 12:56
37124609,63000, €,41.4234112,2.1571118,,90,0,1,,1.0,,,,,,,,,na,1965.0,2,Barcelona,Horta Guinardó,4.091889479,,,estudio,,El Carmel,0.211852725,9/3/2021 12:18,11/12/2021 16:40
37320740,625000, €,41.391927,2.1536584,96.0,101,2,2,1.0,,1.0,,3.0,,1.0,,,1.0,na,1900.0,2,Barcelona,Eixample,1.429008015,,,piso,,Hospital Clínic,0.42727355,8/28/2021 19:44,8/29/2021 12:56
37372092,120000, €,41.3789664,2.1690215,32.0,35,2,1,1.0,,0.0,,4.0,,0.0,,,,,1850.0,2,Barcelona,El Raval,0.996508086,,,piso,,Liceu,0.433558027,10/22/2021 23:10,10/22/2021 23:10
37382716,120000, €,41.3807664,2.1706215,33.0,39,2,1,,,0.0,,4.0,,0.0,,,,,1850.0,2,Barcelona,El Raval,0.795625932,,,piso,,Liceu,0.214753735,10/22/2021 23:10,10/22/2021 23:10
37392302,89000, €,41.3706311,2.1654446,20.0,25,0,1,,,0.0, oeste,,,0.0,,,,,,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.956797584,,,estudio,,Parc de Montjuïc,0.260191911,9/3/2021 13:04,11/12/2021 16:40
37470730,84400, €,41.4215609,2.1459462,40.0,50,1,1,,,,,,,1.0,,,1.0,individual,1963.0,2,Barcelona,La Teixonera,4.244839725,,,piso,,El Coll | La Teixonera,0.216781198,11/11/2021 13:04,11/12/2021 16:40
37842200,450000, €,41.3931619,2.174245,,65,2,1,,1.0,1.0,,,,1.0,,,1.0,,1910.0,2,Barcelona,Eixample,0.687609922,,,piso,,Tetuan,0.221050099,8/28/2021 18:28,8/29/2021 12:27
37975296,139000, €,41.3776096,2.170169,38.0,40,2,1,,,0.0,,3.0,,0.0,,,1.0,electric,,2,Barcelona,El Raval,1.144788103,,,piso,,Paral·lel,0.350014645,10/3/2021 21:31,11/12/2021 10:28
38148193,323000, €,41.37426,2.15867,65.0,69,3,1,,1.0,1.0,,6.0,1.0,1.0,,,1.0,,,2,Barcelona,El Poble Sec - Parc de Montjuïc,1.784202644,,,atico,,Poble Sec,0.154866775,8/30/2021 10:35,9/1/2021 13:38
38278514,1145000, €,41.3839401,2.1736978,150.0,172,4,1,,1.0,1.0, este,2.0,,1.0,,,1.0,,1860.0,2,Barcelona,El Gòtic,0.541662308,,,piso,,Liceu,0.283019347,8/29/2021 11:04,8/29/2021 20:49
38390031,645000, €,41.3848368,2.1661614,,115,3,3,1.0,,1.0,,2.0,,1.0,,,1.0,,,2,Barcelona,Eixample,0.463113817,,,piso,,Universitat,0.194362404,8/28/2021 21:29,8/29/2021 15:19
38553015,127000, €,41.3944284,2.1808466,78.0,80,3,1,,,0.0, norte,6.0,,1.0,,,,,1965.0,2,Barcelona,El Fort Pienc,1.165608891,,,piso,,Arc de Triomf,0.23417287,9/2/2021 17:45,11/11/2021 21:48
38601752,103000, €,41.456459,2.1863035,110.0,132,3,1,,,,,,,,,,,,,2,Barcelona,Nou Barris,7.747270694,,,chalet,,Casa de l'Aigua,0.58590129,8/30/2021 17:44,9/6/2021 12:56
38636508,2300000, €,41.3991245,2.1164118,,244,3,3,,1.0,1.0,,,,1.0,,1.0,1.0,,,2,Barcelona,Sarrià-Sant Gervasi,4.636159277,,,piso,,Palau Reial,1.472781575,8/28/2021 19:44,8/29/2021 12:56
