iter	RMSE
0	1447.881925
1	1415.635981
2	1383.219554
3	1351.231408
4	1321.795147
5	1291.275204
6	1263.011105
7	1235.016707
8	1208.275731
9	1182.308061
10	1157.740843
11	1133.74395
12	1109.873531
13	1086.727061
14	1064.540265
15	1042.957527
16	1021.947801
17	1002.556941
18	982.5716893
19	963.6840633
20	944.8511442
21	926.6293957
22	909.9281914
23	893.0321643
24	876.8056383
25	861.7303717
26	846.7188806
27	832.2630484
28	818.1050943
29	804.2300415
30	791.5008726
31	778.8439859
32	766.0004813
33	754.3727505
34	742.5487968
35	730.8025318
36	719.9180538
37	710.2726289
38	700.1987825
39	690.2647377
40	680.7585201
41	671.6724938
42	662.9901894
43	654.4441593
44	646.3980751
45	639.0987797
46	630.5396863
47	623.0632383
48	615.8348554
49	608.4119705
50	601.9174528
51	595.0545178
52	588.6654271
53	582.7156661
54	576.7299111
55	570.5535523
56	564.8349039
57	558.7588397
58	553.5795957
59	548.0397551
60	542.7010551
61	538.393343
62	533.100028
63	528.1193283
64	523.7543756
65	518.9064815
66	514.2697452
67	509.5634381
68	504.7622262
69	499.9908634
70	496.0637412
71	492.3877362
72	488.9877985
73	485.4878919
74	482.3401783
75	478.6710576
76	475.6331022
77	472.2881894
78	468.8634699
79	465.8446084
80	463.0589554
81	459.8844658
82	457.1607844
83	454.3659818
84	451.0676725
85	447.8012813
86	445.0681265
87	442.2606755
88	440.2493315
89	438.1261126
90	436.0026091
91	433.6197128
92	431.1163321
93	429.1673374
94	426.9048675
95	424.5504977
96	422.1751748
97	419.6422425
98	417.9095844
99	415.7696636
100	413.9797098
101	412.2888465
102	410.3392324
103	408.2462993
104	406.7501781
105	404.4270428
106	402.195205
107	400.6428777
108	398.7581918
109	397.2936545
110	395.826191
111	394.3551313
112	393.0491683
113	391.5637851
114	389.9377937
115	388.3184912
116	387.0055889
117	385.6754547
118	383.9221803
119	382.6503466
120	381.5351915
121	380.3331987
122	379.2099454
123	377.982074
124	376.7274538
125	375.5393505
126	374.4254596
127	373.3402926
128	371.7927875
129	370.6938061
130	369.5001284
131	368.9351598
132	368.2119189
133	367.1012538
134	365.6337633
135	364.1961974
136	363.2906058
137	362.4346457
138	361.5610006
139	360.4741614
140	359.164138
141	358.5446446
142	356.9895417
143	356.3796316
144	355.5457107
145	354.7343746
146	353.8283334
147	352.9860551
148	352.2369287
149	351.1354962
150	350.3268875
151	349.9465678
152	349.6013436
153	348.2119292
154	347.4535595
155	346.3276998
156	345.9806226
157	345.4643983
158	344.8892956
159	344.2995874
160	343.5181013
161	342.9625341
162	342.3986645
163	341.7037147
164	341.4010644
165	340.6847195
166	340.0500264
167	339.7727907
168	339.2898983
169	339.0221662
170	338.292989
171	338.0234162
172	337.4599017
173	336.7371758
174	335.3522329
175	335.1004149
176	334.8328414
177	334.5114896
178	333.6292749
179	333.1085928
180	332.3101433
181	331.9712749
182	331.4351467
183	330.9948995
184	330.7930215
185	330.3042673
186	329.7635115
187	329.2253114
188	328.2413592
189	327.2600991
190	326.8940625
191	326.4091328
192	325.79001
193	324.5844047
194	324.0937051
195	323.4193877
196	323.2462028
197	323.0650761
198	322.8794099
199	321.974396
200	321.7749982
201	321.5238111
202	321.3669765
203	320.5260758
204	319.8457504
205	319.5406579
206	319.3785007
207	318.8606064
208	318.1958357
209	317.959823
210	317.5301929
211	317.105273
212	316.4671993
213	315.8611314
214	314.755003
215	314.0363399
216	313.0902316
217	312.8567268
218	312.1530563
219	311.6600903
220	311.0514606
221	310.4345965
222	309.6396051
223	309.5220816
224	308.3344263
225	307.8467094
226	307.7309011
227	307.6212192
228	307.4305438
229	307.003938
230	305.9635909
231	305.3081543
232	305.1908562
233	304.8713769
234	304.1655835
235	303.8415829
236	303.7544848
237	303.057114
238	302.3775439
239	301.6708564
240	301.4559648
241	300.5710942
242	300.3300636
243	299.5940288
244	298.570186
245	298.1194036
246	297.9847696
247	297.4297387
248	296.9748839
249	296.5999061
250	295.6299934
251	295.5477277
252	295.3592953
253	294.5618625
254	293.7781939
255	293.1024509
256	292.7091395
257	292.4454739
258	291.9190356
259	291.2817588
260	290.9833356
261	290.6221206
262	290.4316147
263	290.1900733
264	290.1244816
265	289.5014042
266	288.6351253
267	288.4260792
268	288.1390635
269	287.8000314
270	287.4298728
271	286.967359
272	286.3892939
273	286.3211714
274	285.7074191
275	284.9084256
276	284.6369827
277	283.905433
278	283.4504341
279	283.1045314
280	282.6075591
281	282.1962877
282	281.9645962
283	281.6123796
284	280.9034904
285	280.3217248
286	280.2093442
287	279.8802218
288	279.6142396
289	279.4068016
290	279.3173726
291	278.7359333
292	278.3471733
293	278.3006741
294	277.4540914
295	277.2035567
296	276.6381111
297	275.9213714
298	275.3597648
299	275.1947032
300	274.6394577
301	274.253565
302	273.7484393
303	273.4284867
304	272.8036813
305	272.363855
306	271.8957545
307	271.7604094
308	271.4382446
309	271.0006948
310	270.5221826
311	269.8521137
312	269.8092693
313	269.7662751
314	269.4498999
315	269.2850266
316	269.0053692
317	268.2904058
318	268.2368909
319	268.0439171
320	267.9959974
321	267.5743403
322	267.4108982
323	267.2246266
324	267.1757358
325	266.8853293
326	266.6870222
327	266.6177982
328	266.5817294
329	266.1780591
330	265.5395915
331	265.0172313
332	264.476549
333	263.6724604
334	263.3275805
335	263.270468
336	262.9872426
337	262.6212249
338	262.3711217
339	262.1643687
340	261.8592034
341	261.3290725
342	260.8772829
343	260.4863996
344	260.2423464
345	259.9967195
346	259.7642369
347	259.2888943
348	259.0649374
349	259.0176045
350	258.567429
351	258.3221104
352	258.0766101
353	257.8602584
354	257.3785283
355	257.0069498
356	256.7160789
357	256.4873935
358	256.3185138
359	256.2355897
360	256.0185
361	255.7914723
362	255.6438009
363	254.9657995
364	254.6966557
365	254.5330823
366	254.394813
367	254.2280205
368	254.1330811
369	253.6107276
370	253.2504887
371	252.6267796
372	252.499918
373	252.2347571
374	251.7356008
375	251.2933326
376	250.8331478
377	250.442662
378	250.0809546
379	249.8911794
380	249.5763317
381	248.9274072
382	248.8307316
383	248.6646257
384	248.1033093
385	247.6965169
386	247.5413958
387	247.384035
388	247.0495049
389	246.7614038
390	246.5920601
391	246.4300306
392	245.9828791
393	245.3524279
394	245.0849877
395	244.8219286
396	244.6706469
397	244.5076704
398	244.2525975
399	244.0768664
400	243.9437788
401	243.6519905
402	243.3888538
403	243.1443285
404	242.6549384
405	242.5093043
406	242.3148595
407	242.0668916
408	241.8232933
409	241.3377362
410	241.1054287
411	241.0293129
412	240.9112551
413	240.5282664
414	240.3572713
415	240.0233053
416	239.5811273
417	239.4375806
418	239.1955094
419	238.8449624
420	238.5438904
421	238.122905
422	238.0686832
423	237.6207822
424	237.419642
425	237.3044863
426	236.8143433
427	236.761761
428	236.5733145
429	236.1731571
430	236.0064539
431	235.9068794
432	235.7536356
433	235.5068921
434	235.4193699
435	235.099907
436	234.7121112
437	234.6278211
438	234.6117776
439	234.1140798
440	233.9370574
441	233.8410924
442	233.6555479
443	233.5837509
444	233.4115303
445	233.1089375
446	233.0118746
447	232.8550342
448	232.6767066
449	232.627698
450	232.4228769
451	231.9268668
452	231.5756183
453	231.2047136
454	230.9301724
455	230.6495823
456	230.5819988
457	230.2300496
458	230.021404
459	230.0075898
460	229.6607667
461	229.3679195
462	229.3232593
463	229.2761072
464	229.2317626
465	228.8874462
466	228.760941
467	228.4742251
468	228.3444465
469	228.182876
470	228.1330133
471	228.0704941
472	227.6763659
473	227.2203096
474	226.9802995
475	226.8891416
476	226.4868078
477	226.3294415
478	225.9315578
479	225.7679457
480	225.4929672
481	225.4056466
482	225.3599293
483	225.2922656
484	225.1559439
485	225.119429
486	224.9887003
487	224.7001938
488	224.6712525
489	224.5244039
490	224.4795998
491	224.2929832
492	224.0038825
493	223.8578849
494	223.7395759
495	223.6191682
496	223.346558
497	223.1154001
498	222.8222188
499	222.648274
500	222.5487867
501	222.309638
502	222.1533165
503	222.1005771
504	221.9469525
505	221.8434987
506	221.6444745
507	221.4954097
508	221.3514792
509	221.1780144
510	221.108491
511	221.040657
512	220.8730569
513	220.5253655
514	220.3314856
515	219.9999488
516	219.7685236
517	219.6695449
518	219.6371589
519	219.5639745
520	219.4082563
521	219.0913867
522	219.0225404
523	218.8234414
524	218.6468501
525	218.5442996
526	218.346329
527	218.2885448
528	218.0050481
529	217.9071542
530	217.6355614
531	217.5857619
532	217.3287519
533	217.098574
534	217.036897
535	216.8459904
536	216.7106859
537	216.6419126
538	216.5253427
539	216.3841543
540	216.2396009
541	216.1264648
542	216.0417113
543	215.7836815
544	215.5790281
545	215.4513107
546	215.4297056
547	215.2532168
548	215.192435
549	215.1422265
550	214.9314629
551	214.873257
552	214.7222765
553	214.6446109
554	214.6193288
555	214.468758
556	214.4616957
557	214.4075844
558	214.0803896
559	213.8337194
560	213.4982244
561	213.3372245
562	213.1842089
563	213.0902119
564	212.985239
565	212.8165624
566	212.7662212
567	212.5712592
568	212.4794804
569	212.4359011
570	212.2653996
571	212.0903151
572	211.9013165
573	211.8939566
574	211.7249753
575	211.644078
576	211.3895697
577	211.235905
578	211.1905899
579	211.1490444
580	210.9671343
581	210.8864353
582	210.7085535
583	210.549281
584	210.5094472
585	210.3787619
586	210.192491
587	210.0444078
588	209.9437218
589	209.7493117
590	209.7326055
591	209.5962337
592	209.5349078
593	209.2566615
594	209.0830903
595	208.7854848
596	208.59643
597	208.5455536
598	208.3813572
599	208.2252016
600	208.2194808
601	208.0815307
602	208.0750031
603	208.0682848
604	208.064462
605	207.9436749
606	207.8063619
607	207.6285767
608	207.4349488
609	207.3704442
610	207.2224039
611	207.1836272
612	206.9886261
613	206.9535636
614	206.7832832
615	206.6219956
616	206.5314383
617	206.4003132
618	206.3072582
619	206.2738762
620	205.9333647
621	205.8319719
622	205.8260902
623	205.6589345
624	205.4731013
625	205.4229192
626	205.2673643
627	204.9993803
628	204.7820382
629	204.6833229
630	204.5011494
631	204.4976588
632	204.4957044
633	204.4588288
634	204.3436251
635	204.3113507
636	204.1076201
637	203.9536937
638	203.943173
639	203.9080859
640	203.9056848
641	203.8268344
642	203.7474081
643	203.640525
644	203.596819
645	203.5440944
646	203.3336165
647	203.1691677
648	203.0733533
649	202.9748816
650	202.9457009
651	202.8684118
652	202.7818078
653	202.6834691
654	202.4770253
655	202.345974
656	202.2731626
657	202.1980717
658	202.0412744
659	201.7976306
660	201.7569798
661	201.5510166
662	201.4408395
663	201.238657
664	201.2232515
665	201.0997035
666	200.9393672
667	200.8477798
668	200.6861595
669	200.4599481
670	200.3419873
671	200.3331186
672	200.2824313
673	200.1676156
674	199.9927131
675	199.8768349
676	199.8256387
677	199.7229316
678	199.6352733
679	199.5127397
680	199.3702916
681	199.2913139
682	199.2135184
683	199.1645079
684	199.0191664
685	198.9510782
686	198.9184273
687	198.7744226
688	198.6067663
689	198.4909383
690	198.3785963
691	198.2999559
692	198.1375709
693	197.9652905
694	197.7416006
