iter	Passed	Remaining
0	6	11258
1	12	11307
2	19	11645
3	24	11026
4	31	11139
5	35	10646
6	42	10785
7	49	10991
8	55	11013
9	64	11486
10	70	11459
11	76	11447
12	84	11569
13	90	11599
14	97	11632
15	104	11610
16	110	11612
17	117	11595
18	123	11623
19	130	11599
20	137	11617
21	145	11771
22	152	11776
23	159	11769
24	165	11767
25	173	11805
26	180	11869
27	190	12051
28	198	12111
29	205	12137
30	213	12173
31	220	12198
32	227	12178
33	234	12173
34	239	12053
35	246	12083
36	254	12108
37	261	12130
38	268	12138
39	275	12133
40	282	12121
41	284	11926
42	293	11991
43	302	12067
44	309	12069
45	315	12040
46	322	12034
47	328	11972
48	333	11911
49	340	11921
50	345	11853
51	351	11806
52	359	11837
53	365	11822
54	371	11793
55	378	11793
56	386	11816
57	394	11846
58	401	11840
59	405	11753
60	412	11757
61	420	11779
62	534	14738
63	745	20214
64	804	21487
65	816	21443
66	828	21431
67	837	21338
68	844	21191
69	850	21027
70	864	21054
71	871	20907
72	878	20788
73	885	20656
74	892	20517
75	899	20400
76	906	20287
77	914	20187
78	921	20072
79	929	19978
80	936	19881
81	943	19777
82	951	19681
83	957	19558
84	965	19477
85	972	19381
86	977	19239
87	983	19138
88	993	19105
89	1004	19080
90	1017	19111
91	1033	19178
92	1043	19147
93	1048	19033
94	1060	19039
95	1075	19096
96	1087	19090
97	1108	19244
98	1207	20739
99	1223	20791
100	1234	20759
101	1247	20761
102	1260	20768
103	1272	20747
104	1283	20725
105	1297	20728
106	1305	20662
107	1316	20623
108	1322	20523
109	1331	20459
110	1336	20330
111	1343	20245
112	1349	20151
113	1356	20064
114	1362	19963
115	1370	19890
116	1375	19792
117	1383	19720
118	1390	19643
119	1398	19576
120	1403	19477
121	1410	19402
122	1418	19334
123	1424	19259
124	1432	19200
125	1439	19129
126	1447	19063
127	1455	19009
128	1461	18930
129	1467	18852
130	1470	18732
131	1477	18675
132	1484	18600
133	1486	18481
134	1489	18368
135	1492	18261
136	1500	18210
137	1506	18145
138	1513	18087
139	1517	17992
140	1520	17892
141	1527	17836
142	1529	17728
143	1537	17682
144	1546	17651
145	1552	17587
146	1559	17536
147	1564	17464
148	1567	17363
149	1573	17308
150	1579	17247
151	1585	17193
152	1592	17138
153	1594	17045
154	1600	16986
155	1607	16944
156	1621	16970
157	1647	17120
158	1659	17127
159	1672	17138
160	1686	17171
161	1701	17205
162	1714	17219
163	1723	17190
164	1736	17207
165	1746	17189
166	1760	17219
167	1774	17240
168	1857	17924
169	2090	20045
170	2180	20774
171	2190	20735
172	2201	20707
173	2208	20638
174	2220	20622
175	2227	20555
176	2242	20559
177	2252	20528
178	2255	20422
179	2257	20316
180	2267	20278
181	2277	20250
182	2279	20144
183	2282	20046
184	2289	19982
185	2297	19938
186	2304	19876
187	2310	19812
188	2317	19754
189	2325	19702
190	2329	19620
191	2336	19566
192	2343	19510
193	2349	19446
194	2356	19397
195	2360	19313
196	2362	19225
197	2374	19210
198	2394	19262
199	2414	19319
200	2430	19332
201	2448	19367
202	2460	19356
203	2471	19337
204	2483	19324
205	2491	19277
206	2503	19268
207	2506	19184
208	2513	19131
209	2529	19149
210	2537	19112
211	2544	19057
212	2551	19010
213	2557	18955
214	2563	18899
215	2570	18846
216	2576	18796
217	2582	18740
218	2589	18693
219	2594	18635
220	2600	18583
221	2606	18530
222	2613	18479
223	2619	18429
224	2625	18377
225	2632	18336
226	2639	18287
227	2645	18239
228	2652	18196
229	2658	18147
230	2664	18096
231	2670	18046
232	2676	18000
233	2680	17940
234	2686	17890
235	2692	17843
236	2699	17801
237	2703	17744
238	2710	17701
239	2716	17655
240	2718	17587
241	2725	17547
242	2731	17501
243	2737	17454
244	2742	17408
245	2749	17368
246	2756	17329
247	2761	17283
248	2766	17234
249	2773	17194
250	2780	17157
251	2785	17109
252	2791	17067
253	2797	17026
254	2803	16985
255	2809	16944
256	2815	16905
257	2821	16866
258	2827	16825
259	2838	16810
260	2845	16780
261	2854	16757
262	2871	16781
263	2884	16779
264	2891	16749
265	2897	16711
266	2904	16676
267	2910	16638
268	2913	16583
269	2917	16534
270	2923	16495
271	2929	16458
272	2936	16426
273	2943	16392
274	2950	16360
275	2956	16326
276	2964	16297
277	2969	16259
278	2975	16220
279	2981	16184
280	2987	16151
281	2994	16120
282	3001	16091
283	3008	16059
284	3015	16032
285	3024	16010
286	3030	15976
287	3038	15950
288	3044	15918
289	3051	15888
290	3058	15858
291	3065	15832
292	3070	15792
293	3076	15760
294	3083	15729
295	3089	15698
296	3095	15667
297	3103	15640
298	3116	15647
299	3123	15619
300	3128	15581
301	3135	15552
302	3144	15534
303	3163	15569
304	3283	16095
305	3535	17263
306	3550	17268
307	3559	17243
308	3581	17279
309	3594	17276
310	3607	17270
311	3632	17326
312	3645	17318
313	3656	17303
314	3668	17296
315	3676	17263
316	3682	17229
317	3688	17192
318	3696	17160
319	3702	17122
320	3708	17087
321	3715	17052
322	3721	17018
323	3727	16981
324	3734	16947
325	3740	16911
326	3746	16874
327	3752	16839
328	3758	16804
329	3764	16767
330	3770	16733
331	3776	16699
332	3782	16662
333	3789	16631
334	3796	16602
335	3803	16571
336	3809	16538
337	3815	16503
338	3822	16475
339	3829	16443
340	3835	16409
341	3842	16381
342	3850	16354
343	3857	16324
344	3863	16293
345	3870	16266
346	3875	16229
347	3883	16202
348	3890	16176
349	3897	16148
350	3902	16110
351	3909	16082
352	3915	16050
353	3921	16020
354	3929	15994
355	3936	15966
356	3942	15937
357	3949	15908
358	3955	15877
359	3962	15849
360	3969	15823
361	3975	15792
362	3981	15763
363	3990	15741
364	3996	15711
365	4004	15689
366	4021	15703
367	4036	15708
368	4060	15748
369	4074	15747
370	4087	15744
371	4100	15739
372	4111	15729
373	4125	15730
374	4141	15737
375	4148	15710
376	4154	15682
377	4161	15653
378	4167	15624
379	4173	15595
380	4179	15567
381	4187	15543
382	4194	15518
383	4200	15490
384	4208	15465
385	4214	15437
386	4220	15408
387	4226	15380
388	4233	15357
389	4240	15329
390	4248	15309
391	4255	15284
392	4261	15256
393	4267	15228
394	4274	15203
395	4280	15177
396	4287	15151
397	4293	15125
398	4300	15098
399	4307	15075
400	4313	15050
401	4321	15027
402	4327	15002
403	4334	14977
404	4341	14955
405	4347	14927
406	4354	14904
407	4362	14882
408	4368	14857
409	4375	14834
410	4384	14817
411	4391	14794
412	4398	14772
413	4407	14754
414	4415	14735
415	4422	14712
416	4428	14686
417	4435	14665
418	4442	14641
419	4449	14618
420	4456	14597
421	4463	14575
422	4470	14551
423	4476	14527
424	4484	14507
425	4492	14490
426	4500	14471
427	4508	14453
428	4515	14430
429	4521	14404
430	4609	14641
431	4753	15053
432	4841	15285
433	4855	15283
434	4865	15268
435	4879	15266
436	4893	15261
437	4899	15235
438	4907	15215
439	4915	15193
440	4923	15171
441	4931	15151
442	4938	15126
443	4946	15107
444	4953	15083
445	4961	15063
446	4968	15038
447	4976	15019
448	4983	14994
449	4994	14982
450	5001	14959
451	5010	14942
452	5017	14919
453	5027	14903
454	5034	14882
455	5044	14867
456	5065	14886
457	5081	14889
458	5097	14891
459	5111	14891
460	5123	14881
461	5134	14870
462	5146	14861
463	5158	14852
464	5165	14831
465	5172	14807
466	5179	14783
467	5185	14757
468	5192	14736
469	5199	14714
470	5207	14694
471	5214	14670
472	5220	14647
473	5228	14625
474	5234	14601
475	5239	14574
476	5247	14555
477	5254	14531
478	5261	14508
479	5267	14485
480	5274	14464
481	5281	14442
482	5288	14419
483	5295	14397
484	5301	14375
485	5308	14351
486	5314	14328
487	5320	14303
488	5326	14280
489	5334	14261
490	5344	14249
491	5351	14227
492	5358	14207
493	5366	14187
494	5372	14165
495	5379	14142
496	5385	14120
497	5396	14108
498	5413	14114
499	5429	14115
500	5439	14103
501	5452	14099
502	5463	14087
503	5473	14073
504	5484	14064
505	5495	14054
506	5505	14040
507	5516	14029
508	5528	14022
509	5540	14013
510	5553	14009
511	5572	14018
512	5585	14012
513	5605	14023
514	5620	14024
515	5637	14027
516	5651	14025
517	5669	14032
518	5687	14036
519	5703	14039
520	5715	14031
521	5730	14029
522	5741	14017
523	5753	14011
524	5766	14005
525	5778	13994
526	5793	13995
527	5804	13984
528	5819	13981
529	5971	14309
530	6120	14627
531	6245	14886
532	6254	14866
533	6267	14858
534	6280	14849
535	6287	14826
536	6296	14809
537	6302	14784
538	6311	14766
539	6317	14740
540	6327	14724
541	6334	14701
542	6341	14680
543	6347	14655
544	6354	14633
545	6363	14615
546	6368	14589
547	6378	14572
548	6384	14548
549	6393	14530
550	6400	14508
551	6409	14490
552	6416	14468
553	6425	14450
554	6431	14427
555	6441	14413
556	6448	14390
557	6457	14372
558	6463	14349
559	6474	14337
560	6482	14316
561	6491	14298
562	6497	14276
563	6506	14259
564	6515	14241
565	6523	14222
566	6529	14198
567	6536	14178
568	6543	14157
569	6550	14135
570	6559	14117
571	6574	14113
572	6619	14174
573	6638	14179
574	6661	14192
575	6680	14197
576	6696	14193
577	6706	14178
578	6712	14155
579	6722	14140
580	6728	14116
581	6738	14102
582	6744	14079
583	6754	14064
584	6761	14043
585	6769	14025
586	6777	14004
587	6785	13986
588	6793	13967
589	6801	13949
590	6813	13937
591	6824	13926
592	6831	13904
593	6840	13887
594	6848	13870
595	6857	13852
596	6864	13832
597	6872	13814
598	6883	13801
599	6899	13799
600	6906	13779
601	6916	13764
602	6923	13743
603	6930	13723
604	6939	13706
605	6950	13693
606	6956	13672
607	6968	13661
608	6976	13643
609	6987	13630
610	6997	13616
611	7005	13599
612	7016	13586
613	7023	13566
614	7030	13547
615	7038	13528
616	7046	13511
617	7055	13494
618	7064	13477
619	7072	13459
620	7082	13446
621	7093	13434
622	7108	13430
623	7122	13422
624	7133	13410
625	7145	13400
626	7158	13392
627	7175	13390
628	7195	13395
629	7207	13386
630	7215	13367
631	7223	13349
632	7230	13329
633	7427	13660
634	7601	13946
635	7620	13947
