iter	RMSE
0	973.6107946
1	957.3741507
2	941.3191688
3	925.6731642
4	912.231554
5	897.1905538
6	883.5566399
7	871.5645804
8	858.2893694
9	845.3004773
10	834.6877977
11	822.0608106
12	810.721025
13	798.8125257
14	788.8730503
15	777.1802853
16	767.0280297
17	756.6988485
18	748.0458999
19	737.6283693
20	727.270063
21	717.414109
22	708.4998603
23	699.7005428
24	690.6274878
25	682.8487618
26	674.868445
27	666.5212531
28	658.7381884
29	651.4130048
30	644.287864
31	637.5733446
32	631.1156642
33	624.8992851
34	619.0555641
35	613.7441478
36	608.7009834
37	602.6205026
38	597.4924297
39	592.4448011
40	586.740381
41	582.0359998
42	576.2399173
43	570.648912
44	565.2881789
45	560.0507501
46	554.6747016
47	549.8937203
48	545.6063917
49	541.2391483
50	536.9200655
51	532.4520143
52	528.5444262
53	524.51483
54	520.8720697
55	516.8849743
56	513.2913095
57	509.6188853
58	505.2520956
59	500.7832254
60	497.0804
61	494.0054543
62	490.6296535
63	487.9215249
64	484.6596142
65	481.2234823
66	478.1764325
67	475.2930734
68	471.8884259
69	469.1140144
70	466.1678736
71	463.2041723
72	460.131559
73	457.0939787
74	454.8972371
75	453.0823592
76	450.4248516
77	447.6560125
78	445.5768482
79	443.8966705
80	442.1228967
81	439.8955974
82	437.6577782
83	435.0025116
84	433.175246
85	431.0625704
86	429.2914471
87	427.5499097
88	425.7125241
89	423.7937518
90	423.1074565
91	422.2268456
92	419.9677075
93	418.0921892
94	416.1948272
95	415.6235792
96	413.6277133
97	412.3472721
98	410.6816738
99	408.4005783
100	407.0152396
101	405.1806889
102	404.6061024
103	403.0193359
104	401.5281224
105	399.7048517
106	398.699571
107	396.7795586
108	395.3409872
109	394.8250693
110	394.0744923
111	393.1507903
112	392.6912699
113	391.5574789
114	391.0960692
115	390.6712461
116	389.9145284
117	389.4935026
118	388.3843046
119	386.2327262
120	384.21109
121	382.7305242
122	381.9865131
123	380.1784973
124	379.7695317
125	378.2024485
126	376.9900746
127	375.6524643
128	375.2706683
129	374.6882415
130	374.0894683
131	372.7979126
132	372.05032
133	371.6274995
134	370.8019205
135	369.5991641
136	368.6922944
137	367.7653076
138	366.9876087
139	365.9505677
140	365.373163
141	364.8430643
142	364.4056937
143	362.4031292
144	361.2275613
145	360.6329221
146	360.1436591
147	359.783799
148	359.4836085
149	359.0393448
150	357.1602699
151	355.7231121
152	354.9680033
153	354.0110461
154	353.3908963
155	352.9183954
156	351.4060711
157	350.200655
158	348.8944886
159	348.5061174
160	347.72493
161	346.9797637
162	346.3196366
163	345.6869854
164	345.4472096
165	344.8431114
166	344.615516
167	344.4128779
168	343.1414654
169	342.2298525
170	341.8215518
171	341.279128
172	340.1877768
173	339.9888407
174	339.0968197
175	338.8522764
176	338.2947779
177	337.9018929
178	337.6734021
179	336.6544806
180	336.1195273
181	335.3579798
182	334.7081531
183	334.5355947
184	334.3624983
185	334.1617111
186	333.5156132
187	332.5981187
188	331.742635
189	330.7547305
190	330.2555158
191	329.9094166
192	328.9951516
193	327.4244559
194	326.6809238
195	326.0877004
196	325.5078689
197	324.7415248
198	324.385068
199	323.6776628
200	323.1384927
201	322.6593918
202	321.9132999
203	321.3230164
204	320.4207684
205	320.3014194
206	320.1800528
207	319.3633542
208	318.6761982
209	318.2894656
210	317.5121962
211	317.1498918
212	316.9671906
213	316.8558249
214	316.3736602
215	315.7506462
216	315.0481711
217	314.6183956
218	314.073935
219	313.7632238
220	313.2383126
221	312.7179957
222	312.2305072
223	311.7915995
224	311.0659745
225	310.9739141
226	310.5802864
227	310.2205123
228	309.333018
229	309.0856754
230	308.7386245
231	308.5599373
232	307.845496
233	307.4204683
234	307.2845341
235	306.9927152
236	306.3018008
237	305.3251756
238	305.2491559
239	304.5604158
240	304.1449294
241	303.7018032
242	303.2028053
243	302.5562553
244	302.4870576
245	302.2471018
246	301.6847333
247	301.2407631
248	301.0880249
249	300.8115523
250	300.4338212
251	299.9567823
252	299.3909043
253	299.0141195
254	298.605455
255	298.4875946
256	297.9441351
257	297.8870519
258	297.6985658
259	297.2264776
260	297.0849938
261	296.5902497
262	296.2271807
263	295.9266576
264	295.5209214
265	295.4341959
266	295.3616551
267	295.3119679
268	294.6675458
269	294.6053152
270	294.1205968
271	293.7349691
272	293.6870475
273	293.6417249
274	292.8315406
275	292.7750836
276	292.5669186
277	292.1926826
278	291.7739791
279	291.6384513
280	291.5698101
281	291.5136706
282	291.2491958
283	290.9178844
284	290.8018058
285	290.5494052
286	290.031154
287	289.3445834
288	288.9401038
289	288.5435539
290	288.0272812
291	287.3610123
292	287.3259428
293	286.9376984
294	286.6798464
295	286.2739087
296	286.0458053
297	286.0022467
298	285.8224212
299	285.7908412
300	285.2523218
301	285.1978935
302	284.9771605
303	284.8163947
304	284.2074881
305	284.1258356
306	283.69498
307	283.0475783
308	282.5737941
309	282.2984489
310	281.5363505
311	280.9668102
312	280.5729074
313	280.4006137
314	280.2007557
315	279.8623702
316	279.4362347
317	279.1991387
318	278.8762588
319	278.1705898
320	277.5587329
321	276.9416121
322	276.5456339
323	276.3632767
324	275.6585286
325	275.133068
326	274.9562403
327	274.7079513
328	274.3328896
329	274.2204975
330	273.8707629
331	273.5187513
332	273.2080174
333	272.8120849
334	272.5049858
335	272.1483767
336	271.5384193
337	271.1386726
338	270.8415026
339	270.5960825
340	270.0587179
341	269.8120045
342	269.6633913
343	269.3014231
344	269.0636346
345	268.5271946
346	268.5013663
347	268.1830843
348	268.0317686
349	267.8226259
350	267.5584729
351	267.522127
352	267.1056396
353	266.8006104
354	266.57646
355	266.1417801
356	265.6021571
357	265.4679333
358	265.1748383
359	264.8105706
360	264.5852095
361	264.4461281
362	264.2066338
363	263.5800302
364	263.4357977
365	263.0859564
366	262.8390822
367	262.2693279
368	262.1546166
369	261.6662048
370	261.1799666
371	261.1532241
372	260.700086
373	260.5615429
374	260.3833885
375	259.7473501
376	259.4850496
377	258.9574637
378	258.8533757
379	258.5386559
380	258.3900847
381	257.9799906
382	257.766019
383	257.6261264
384	257.4602397
385	256.9929852
386	256.636189
387	256.403535
388	256.3294782
389	256.0922387
390	255.6559867
391	255.262537
392	254.9257579
393	254.700285
394	254.410521
395	254.2809769
396	253.9982525
397	253.8382533
398	253.6950583
399	253.5677643
400	253.3864453
401	253.1655052
402	252.9509158
403	252.767596
404	252.4543968
405	252.0852229
406	251.645501
407	251.5245736
408	251.3330123
409	251.1994463
410	250.8527305
411	250.7188613
412	250.3410663
413	250.2166343
414	250.1034238
415	249.6496264
416	249.5188676
417	249.4994671
418	249.1394991
419	249.0346077
420	248.8984265
421	248.4988714
422	248.1969865
423	247.9041218
424	247.7475594
425	247.7319865
426	247.6228999
427	247.2479536
428	247.1260898
429	247.0285046
430	246.6929915
431	246.6744513
432	246.3223299
433	246.1947987
434	246.0509155
435	245.8616267
436	245.7202102
437	245.6145764
438	245.3564327
439	244.8393762
440	244.4986394
441	244.2214417
442	244.0043489
443	243.8401794
444	243.5591846
445	243.2748972
446	243.1403923
447	242.8317462
448	242.6951485
449	242.5419857
450	242.349387
451	242.1107289
452	241.8658828
453	241.7284648
454	241.5170407
455	241.1079579
456	240.8676952
457	240.7981196
458	240.7165512
459	240.6657593
460	240.5554689
461	240.3852055
462	240.248898
463	240.127989
464	239.7070843
465	239.3953534
466	239.2501303
467	239.087993
468	238.5369459
469	238.3993117
470	238.1945378
471	237.9119795
472	237.659695
473	237.5592326
474	237.1576471
475	237.0319551
476	236.821354
477	236.6205137
478	236.4415931
479	236.2030643
480	236.0985827
481	236.0255346
482	235.8839392
483	235.8024302
484	235.6212182
485	235.4443073
486	235.2445544
487	235.1258486
488	234.9980246
489	234.8227906
490	234.7126395
491	234.6603317
492	234.2150324
493	233.8276672
494	233.7867008
495	233.537942
496	233.255101
497	233.1824488
498	232.9794933
499	232.882416
500	232.6354015
501	232.3193102
502	232.1324606
503	232.0803762
504	231.9872284
505	231.5744884
506	231.3714956
507	231.2601687
508	231.1995179
509	231.0023714
510	230.622261
511	230.5829343
512	230.5453037
513	230.3900599
514	230.0460457
515	229.982991
516	229.8567359
517	229.8277244
518	229.7122612
519	229.5822321
520	229.5742986
521	229.4488475
522	229.4255279
523	229.149595
524	229.1075982
525	229.0985348
526	228.7977212
527	228.4949365
528	228.441431
529	228.4268583
530	228.4181743
531	228.1510786
532	228.142589
533	228.1322589
534	227.9806816
535	227.8927018
536	227.8034748
537	227.5442172
538	227.5085155
539	227.3929814
540	227.3856962
541	227.3785386
542	227.2961921
543	227.2468129
544	227.0019239
545	226.7564564
546	226.5700699
547	226.4797778
548	226.4730857
549	226.2333788
550	226.2259763
551	226.1767684
552	226.1696875
553	226.162822
554	226.11752
555	226.0683126
556	225.8271366
557	225.777461
558	225.7714452
559	225.754869
560	225.6174228
561	225.4884464
562	225.4507132
563	225.3467663
564	225.1343578
565	225.112847
566	224.9889446
567	224.7516291
568	224.5137496
569	224.24723
570	224.2040476
571	224.1954684
572	224.0987473
573	223.8330948
574	223.611111
575	223.4004114
576	223.3228724
577	223.3198965
578	223.2459813
579	223.031591
580	223.0257225
581	222.7407309
582	222.5301637
583	222.4785815
584	222.3587109
585	222.3318386
586	222.253205
587	222.1235406
588	222.0614941
589	222.0554969
590	221.946388
591	221.8937533
592	221.8535089
593	221.6125155
594	221.4976617
595	221.3335885
596	221.1934747
597	221.0386512
598	220.9353439
599	220.7491477
