iter	Passed	Remaining
0	19	11412
1	31	9365
2	43	8711
3	51	7645
4	58	6986
5	63	6278
6	70	5963
7	77	5702
8	82	5441
9	88	5211
10	94	5034
11	99	4879
12	106	4821
13	112	4717
14	118	4630
15	124	4547
16	130	4472
17	136	4398
18	142	4350
19	148	4313
20	155	4280
21	161	4231
22	166	4178
23	172	4149
24	179	4122
25	185	4103
26	192	4082
27	198	4050
28	204	4021
29	213	4049
30	220	4053
31	230	4092
32	234	4035
33	241	4025
34	246	3984
35	253	3978
36	262	3987
37	269	3992
38	277	3986
39	283	3974
40	290	3965
41	297	3950
42	303	3936
43	311	3933
44	318	3931
45	325	3919
46	331	3900
47	337	3885
48	343	3866
49	351	3863
50	359	3868
51	369	3889
52	377	3891
53	384	3889
54	391	3880
55	400	3887
56	407	3881
57	426	3985
58	445	4085
59	475	4279
60	509	4502
61	535	4645
62	547	4665
63	558	4676
64	563	4640
65	571	4621
66	577	4590
67	583	4564
68	593	4564
69	598	4534
70	605	4512
71	611	4486
72	616	4454
73	623	4429
74	629	4409
75	635	4381
76	640	4353
77	647	4330
78	653	4308
79	659	4284
80	664	4258
81	670	4236
82	676	4215
83	682	4193
84	688	4169
85	694	4150
86	700	4130
87	705	4107
88	712	4091
89	718	4072
90	722	4039
91	725	4007
92	731	3986
93	737	3967
94	742	3948
95	746	3920
96	753	3908
97	759	3891
98	766	3877
99	773	3865
100	779	3853
101	787	3843
102	789	3810
103	797	3801
104	803	3788
105	810	3777
106	817	3766
107	823	3750
108	828	3733
109	831	3702
110	834	3676
111	842	3671
112	845	3645
113	851	3628
114	853	3600
115	857	3577
116	862	3561
117	865	3534
118	870	3520
119	877	3508
120	883	3497
121	889	3485
122	895	3472
123	902	3462
124	905	3440
125	911	3429
126	924	3443
127	932	3439
128	938	3424
129	943	3409
130	948	3395
131	954	3383
132	961	3374
133	972	3382
134	977	3368
135	983	3355
136	989	3345
137	996	3337
138	1003	3328
139	1010	3321
140	1018	3316
141	1026	3309
142	1032	3298
143	1039	3292
144	1050	3297
145	1059	3296
146	1068	3292
147	1074	3280
148	1094	3312
149	1114	3343
150	1137	3381
151	1149	3388
152	1156	3379
153	1163	3369
154	1169	3358
155	1175	3344
156	1182	3335
157	1188	3324
158	1194	3312
159	1200	3301
160	1206	3290
161	1212	3279
162	1218	3268
163	1225	3257
164	1228	3239
165	1234	3228
166	1237	3207
167	1239	3187
168	1246	3178
169	1252	3168
170	1258	3156
171	1264	3145
172	1271	3137
173	1273	3117
174	1280	3109
175	1292	3113
176	1299	3106
177	1306	3097
178	1311	3085
179	1319	3078
180	1326	3070
181	1333	3062
182	1340	3055
183	1343	3037
184	1347	3022
185	1351	3008
186	1357	2999
187	1368	2999
188	1375	2990
189	1382	2983
190	1388	2973
191	1396	2967
192	1403	2960
193	1411	2953
194	1419	2947
195	1427	2941
196	1434	2934
197	1441	2927
198	1449	2920
199	1457	2915
200	1464	2907
201	1472	2900
202	1479	2893
203	1486	2885
204	1495	2882
205	1499	2867
206	1502	2853
207	1512	2849
208	1520	2844
209	1528	2838
210	1535	2831
211	1544	2826
212	1547	2811
213	1550	2797
214	1557	2789
215	1564	2781
216	1572	2776
217	1579	2768
218	1587	2762
219	1595	2755
220	1602	2748
221	1609	2740
222	1616	2732
223	1623	2724
224	1629	2715
225	1632	2701
226	1640	2695
227	1646	2687
228	1653	2678
229	1659	2670
230	1665	2660
231	1670	2650
232	1676	2640
233	1683	2632
234	1686	2619
235	1693	2612
236	1700	2604
237	1707	2596
238	1709	2581
239	1716	2574
240	1723	2567
241	1730	2559
242	1736	2550
243	1742	2542
244	1745	2528
245	1751	2520
246	1758	2513
247	1766	2506
248	1769	2494
249	1776	2486
250	1783	2479
251	1789	2471
252	1797	2464
253	1804	2457
254	1830	2476
255	1844	2478
256	1851	2471
257	1854	2458
