var1	var2	var3
35.04	8.82	75.77
49.96	52.87	66.91
42.07	50.65	80.09
33.24	68.63	76.11
44.69	60.4	71.28
37.73	66.01	78.28
40.8	66.36	78.61
40.84	72.71	82.42
38.55	58.35	69.71
34.75	35.72	95.97
41.52	71.65	72.89
32.76	57.53	88.38
45.36	82.48	72.19
40	72.11	82.6
34.86	52.26	73.43
47.13	63.29	74.61
40.7	52.37	74.61
39.38	71.17	82.98
48.15	66.26	75.7
41.72	51.92	77.5
40.2	71.48	88.09
30.89	39.23	81.27
36.7	66.91	78.37
38.05	59.15	80.67
39.24	67.63	72.13
36.68	28.83	80.15
42.3	66.56	77.09
40.21	83.06	77.08
40.77	78.87	95.7
38.39	69.08	74.27
56.2	40.9	86.9
39.84	51.67	67.47
42.58	65.23	55.12
38.79	67.38	90.7
34.31	77.78	88.42
40.84	41.44	82.71
39.48	34.64	77.09
34.23	26.56	92.3
39.66	78.89	88.74
42.81	62.44	59.58
35.78	55.73	80.98
40.48	48.66	78.34
41.05	58.72	84.3
35.23	28.64	86.87
30.77	80.92	85.29
23.44	38.78	81.32
35.79	90.47	65.87
37.25	58.19	73.51
37.18	72.19	77.46
44.7	53.94	75.64
40.5	42.49	78.29
41.91	53.42	64.85
39.58	64.94	81.05
38.87	47.85	62.84
43.31	59.95	81.56
42.01	71.22	83.8
33.46	54.01	86.73
35.42	58.84	82.18
41.52	66.91	72.02
33.42	55.46	94.94
31.53	64.23	68.95
43.64	81.44	82.34
39.95	54.08	76.11
47.51	62.68	84.11
34.75	72.25	78.27
42.21	65.06	71.58
38.08	91.96	79.37
40.06	81.24	81.35
39.88	38.51	70.92
36.54	78.27	86.5
42.9	44.68	79.58
47.63	45.35	70.07
39.77	88.47	87.56
35.83	36.25	65.47
41.72	58.34	60.55
40.65	74.25	85.6
44.54	56.62	76.16
38.93	57.11	86.76
43.56	34.87	86.02
49.18	33.54	89.57
45.4	41.16	83.48
36.98	62.08	80.77
45.93	63.14	75.78
47.55	35.48	69.38
29.62	58.87	79.41
39.92	72.54	57.43
38.49	66.24	90.15
37.81	69.03	81.27
42.33	46.42	73.66
39.93	57.19	90.05
38.89	61.11	76.41
40.01	65.2	75.91
36.52	58.36	67.19
42.67	68.26	69.25
35.16	83.94	67.21
36.12	47.27	87.32
39.77	69.26	92.58
37.78	57.99	94.6
41.76	68.27	81.66
41.01	54.68	74.34
36.29	29.25	70.37
40.06	51.49	85.89
36.69	59.3	69.84
45.25	62.64	66.65
44.81	56.62	93.36
32.2	81.73	81.83
36.96	72.09	88.74
34.56	37.88	81
35.02	54.49	79.32
35.83	37.8	60.15
44.47	76.2	84.21
50.61	35.91	68.05
39.39	75.26	74.93
37.71	81.3	90.72
35.83	79.56	88.26
43.14	62.15	80.05
38.71	72.45	87.35
41.25	57.6	117.37
45.84	48.57	83.33
39.92	88.73	61.85
31.95	36.39	80.32
38.86	68.83	88.1
39.92	61.19	83.93
37.8	85.13	97.76
46.94	61.81	72.51
44.04	61.19	75.02
36.77	73.53	77.22
39.82	49.37	80.77
40.7	36.21	90.59
44.08	72.27	83.3
40.4	43.11	83.99
37.46	68.52	82.96
40.39	40	81.18
35.23	53.16	73.59
38.38	27.95	79.49
39.07	58.75	86.21
35.45	49.62	74.53
40.96	64.06	76.8
28.48	67.66	83.64
39.12	80.74	83.45
35.04	94.59	75.83
36.1	64.62	83.65
37.24	46.3	81.38
38.04	39.68	101.02
31.05	40.64	79.82
34.2	63.26	77.22
43.8	46.06	91.38
36.72	64.11	82.7
41.9	92.53	79.68
33.68	73.67	86.5
43.65	55.66	79.45
31.43	62.66	87.02
37.66	66.32	92.53
34.79	76.37	75.82
32.17	56.58	75.96
38.24	63.08	76.12
40.46	66.6	79.29
34.92	51.75	101.69
48.35	49.76	85.08
39.89	73.11	77.24
40.52	26.44	74.71
40.18	47.2	73.35
37.09	61.66	80.26
44.81	60.04	79.18
43.55	78.1	99.63
29.8	57.07	78.36
33.78	40.05	79.78
34.72	56.45	78.2
38.98	45.92	90.65
43.59	79.41	85.14
48.68	46.72	69.69
46.37	44.64	85.26
44.34	62.79	79.81
44.4	77.97	75.01
34.07	42.72	86.92
36.99	60.34	78.65
41.2	68.03	80.69
42.82	44.45	83.88
35.6	63.8	67.19
37.06	63.07	82.57
42.8	61.01	72.08
38.1	70.85	82.42
40.26	38.39	82.17
38.86	27.31	93.66
33.34	45.28	80.39
33.12	44.13	103.35
37.49	57.34	61.73
40.36	74.3	77.21
40.4	74.86	90.47
44.44	86.01	81.56
38	79.62	86.03
43.53	51.92	74.5
40.14	84.45	83.91
32.89	60.3	85.98
31.34	71.56	70.18
38.69	46.65	70.31
44.62	58.73	84.77
38.9	25.01	79.86
40.83	54.64	81.98
51.89	18.94	87.63
32.07	81.04	78.92
34.03	72.8	57.38
42.08	25.02	86.19
40.78	37.19	85.28
45.36	43.02	91.55
38.35	82.13	76.66
47.45	64.07	78.65
45.21	38.89	75.63
36.04	48.69	87.69
37.67	70.54	91.13
47.24	58	65.43
44.21	65.99	81.58
38.05	41.4	69.68
45.35	45.1	83.98
38.47	75.2	71
39.26	71.29	78.82
40.15	56.97	81.09
39.62	47.77	68.07
36.82	53.83	78.9
47.16	72.13	89.6
31.8	38.37	88.17
46.49	93.34	75.03
50.57	41.68	71.19
39.89	47.61	77.53
36.52	71.71	62.11
30.22	66.28	55.04
36.26	46.13	78.53
42.71	54.92	74.55
28.63	76.37	82.19
32.15	47.96	92.5
43.71	34.74	86.28
34.11	41.73	87.18
40.72	34.71	87.85
37.95	79.61	83.08
41.57	69.11	77.57
31.15	68.81	84.41
44.46	69.85	81.76
32.03	66.31	76.52
41.57	66.52	88.17
42.65	51.99	80.29
45.01	37.88	83.98
36.27	42.25	84.53
43.84	57.33	80.33
36.84	64.71	76.62
44.05	81.24	84.29
42.8	81.12	98.01
33.31	43.24	72.62
